head,relation,tail,head_type,tail_type
璎珞,Fits_Layout,连缀式,Element,Structure
石榴,Fits_Layout,对称式,Element,Structure
石榴,Fits_Layout,满铺,Element,Structure
竹,Fits_Layout,散点式,Element,Structure
竹,Fits_Layout,重叠式,Element,Structure
枝叶,Fits_Layout,二方连续,Element,Structure
枝叶,Fits_Layout,曲线式,Element,Structure
羊,Fits_Layout,通景式,Element,Structure
羊,Fits_Layout,散点式,Element,Structure
枝叶,Fits_Layout,通景式,Element,Structure
枝叶,Fits_Layout,散点式,Element,Structure
莲花,Fits_Layout,满铺,Element,Structure
蕉叶,Fits_Layout,重叠式,Element,Structure
蕉叶,Fits_Layout,二方连续,Element,Structure
蝙蝠,Fits_Layout,散点式,Element,Structure
蝙蝠,Fits_Layout,对称式,Element,Structure
云,Fits_Layout,散点式,Element,Structure
蝴蝶,Fits_Layout,散点式,Element,Structure
蝴蝶,Fits_Layout,通景式,Element,Structure
高士,Fits_Layout,通景式,Element,Structure
高士,Fits_Layout,开光,Element,Structure
松树,Fits_Layout,通景式,Element,Structure
松树,Fits_Layout,开光,Element,Structure
鱼,Fits_Layout,通景式,Element,Structure
鱼,Fits_Layout,散点式,Element,Structure
水草,Fits_Layout,通景式,Element,Structure
水草,Fits_Layout,散点式,Element,Structure
鸳鸯,Fits_Layout,对称式,Element,Structure
鸳鸯,Fits_Layout,通景式,Element,Structure
莲花,Fits_Layout,通景式,Element,Structure
鹤,Fits_Layout,散点式,Element,Structure
鹤,Fits_Layout,升腾式,Element,Structure
云,Fits_Layout,升腾式,Element,Structure
鹿,Fits_Layout,通景式,Element,Structure
鹿,Fits_Layout,散点式,Element,Structure
麒麟,Fits_Layout,对称式,Element,Structure
麒麟,Fits_Layout,通景式,Element,Structure
云,Fits_Layout,通景式,Element,Structure
凤,Fits_Layout,对称式,Element,Structure
凤,Fits_Layout,环绕式,Element,Structure
云,Fits_Layout,环绕式,Element,Structure
云,Fits_Layout,追珠式,Element,Structure
开光,Symbolizes,聚焦,Structure,Meaning
开光,Symbolizes,尊贵,Structure,Meaning
二方连续,Symbolizes,生生不息,Structure,Meaning
二方连续,Symbolizes,连绵不断,Structure,Meaning
四方连续,Symbolizes,繁荣,Structure,Meaning
缠枝式,Symbolizes,长久,Structure,Meaning
散点式,Symbolizes,自由,Structure,Meaning
散点式,Symbolizes,雅致,Structure,Meaning
中心聚焦式,Symbolizes,皇权,Structure,Meaning
中心聚焦式,Symbolizes,一统,Structure,Meaning
三段式,Symbolizes,秩序,Structure,Meaning
中心聚焦式,Symbolizes,尊贵,Structure,Meaning
三段式,Symbolizes,稳重,Structure,Meaning
多层圈式,Symbolizes,包容,Structure,Meaning
多层圈式,Symbolizes,繁华,Structure,Meaning
散点式,Symbolizes,清雅,Structure,Meaning
散点式,Symbolizes,意境,Structure,Meaning
二方连续,Symbolizes,永恒,Structure,Meaning
二方连续,Symbolizes,长久,Structure,Meaning
四方连续,Symbolizes,富足,Structure,Meaning
开光,Symbolizes,窗口,Structure,Meaning
开光,Symbolizes,特权,Structure,Meaning
对称式,Symbolizes,和谐,Structure,Meaning
对称式,Symbolizes,正统,Structure,Meaning
蝙蝠,Symbolizes,福气,Element,Meaning
石榴,Symbolizes,多子,Element,Meaning
葫芦,Symbolizes,福禄,Element,Meaning
葫芦,Symbolizes,子孙万代,Element,Meaning
鱼,Symbolizes,富余,Element,Meaning
莲花,Symbolizes,清廉,Element,Meaning
莲花,Symbolizes,连科,Element,Meaning
喜鹊,Symbolizes,喜庆,Element,Meaning
松树,Symbolizes,不老,Element,Meaning
松树,Symbolizes,气节,Element,Meaning
竹,Symbolizes,虚心,Element,Meaning
竹,Symbolizes,高洁,Element,Meaning
梅,Symbolizes,傲骨,Element,Meaning
凤,Symbolizes,母仪天下,Element,Meaning
麒麟,Symbolizes,送子,Element,Meaning
如意头,Symbolizes,顺心,Element,Meaning
回纹,Fits_Layout,边饰,Element,Structure
回纹,Fits_Layout,二方连续,Element,Structure
蕉叶,Fits_Layout,边饰,Element,Structure
海水,Fits_Layout,边饰,Element,Structure
云,Fits_Layout,锦地,Element,Structure
团龙,Fits_Layout,中心聚焦式,Element,Structure
团龙,Fits_Layout,环绕式,Element,Structure
团龙,Fits_Layout,二方连续,Element,Structure
鹿,Symbolizes,俸禄,Element,Meaning
鹿,Symbolizes,高官,Element,Meaning
鹤,Symbolizes,一品,Element,Meaning
蝴蝶,Symbolizes,耄耋,Element,Meaning
鱼,Symbolizes,金玉满堂,Element,Meaning
鱼,Symbolizes,高升,Element,Meaning
公鸡,Symbolizes,吉利,Element,Meaning
公鸡,Symbolizes,功名,Element,Meaning
螃蟹,Symbolizes,科举高中,Element,Meaning
桂花,Symbolizes,显贵,Element,Meaning
桂花,Symbolizes,及第,Element,Meaning
葡萄,Symbolizes,多子,Element,Meaning
葡萄,Symbolizes,丰收,Element,Meaning
瓜,Symbolizes,绵延,Element,Meaning
菊花,Symbolizes,隐逸,Element,Meaning
菊花,Symbolizes,长寿,Element,Meaning
兰花,Symbolizes,高雅,Element,Meaning
狮子,Symbolizes,太师少师,Element,Meaning
狮子,Symbolizes,守护,Element,Meaning
喜鹊,Symbolizes,喜相逢,Element,Meaning
铜钱,Symbolizes,财富,Element,Meaning
灵芝,Symbolizes,顺心,Element,Meaning
灵芝,Symbolizes,仙气,Element,Meaning
如意头,Fits_Layout,边饰,Element,Structure
如意头,Fits_Layout,环绕式,Element,Structure
莲花,Fits_Layout,边饰,Element,Structure
莲花,Fits_Layout,二方连续,Element,Structure
卷草,Fits_Layout,边饰,Element,Structure
八宝,Fits_Layout,散点式,Element,Structure
璎珞,Fits_Layout,垂挂式,Element,Structure
璎珞,Fits_Layout,边饰,Element,Structure
团龙,Symbolizes,尊贵,Element,Meaning
团龙,Symbolizes,皇权,Element,Meaning
团龙,Symbolizes,威严,Element,Meaning
团龙,Symbolizes,辟邪,Element,Meaning
团龙,Symbolizes,纳福辟邪,Element,Meaning
团龙,Symbolizes,尊贵至上,Element,Meaning
婴儿,Symbolizes,载道传善,Element,Meaning
仕女,Symbolizes,教化寓意,Element,Meaning
仕女,Symbolizes,忠义,Element,Meaning
高士,Symbolizes,教化寓意,Element,Meaning
高士,Symbolizes,忠义,Element,Meaning
团花式,Symbolizes,圆满,Structure,Meaning
团花式,Symbolizes,团结,Structure,Meaning
通景式,Symbolizes,宏大,Structure,Meaning
通景式,Symbolizes,连贯,Structure,Meaning
满铺,Symbolizes,繁荣,Structure,Meaning
满铺,Symbolizes,富足,Structure,Meaning
散点式,Symbolizes,多维,Structure,Meaning
对称式,Symbolizes,平衡,Structure,Meaning
对称式,Symbolizes,秩序,Structure,Meaning
留白,Symbolizes,意境,Structure,Meaning
留白,Symbolizes,清雅,Structure,Meaning
环绕式,Symbolizes,连绵,Structure,Meaning
环绕式,Symbolizes,包容,Structure,Meaning
凤,Fits_Layout,团花式,Element,Structure
凤,Fits_Layout,中心聚焦式,Element,Structure
如意头,Fits_Layout,开光,Element,Structure
卷草,Fits_Layout,缠枝式,Element,Structure
莲花,Fits_Layout,缠枝式,Element,Structure
莲花,Fits_Layout,折枝式,Element,Structure
莲花,Fits_Layout,中心聚焦式,Element,Structure
海水,Fits_Layout,满铺,Element,Structure
海水,Fits_Layout,升腾式,Element,Structure
梅,Fits_Layout,折枝式,Element,Structure
牡丹,Fits_Layout,缠枝式,Element,Structure
牡丹,Fits_Layout,折枝式,Element,Structure
牡丹,Fits_Layout,团花式,Element,Structure
牡丹,Fits_Layout,中心聚焦式,Element,Structure
竹,Fits_Layout,折枝式,Element,Structure
竹,Fits_Layout,通景式,Element,Structure
蕉叶,Fits_Layout,垂挂式,Element,Structure
麒麟,Fits_Layout,中心聚焦式,Element,Structure
菊花,Fits_Layout,缠枝式,Element,Structure
菊花,Fits_Layout,折枝式,Element,Structure
菊花,Fits_Layout,放射状,Element,Structure
兰花,Fits_Layout,折枝式,Element,Structure
兰花,Fits_Layout,散点式,Element,Structure
莲花,Fits_Layout,环绕式,Element,Structure
八宝,Fits_Layout,缠枝式,Element,Structure
团龙,Fits_Layout,团花式,Element,Structure
团龙,Fits_Layout,散点式,Element,Structure
团龙,Fits_Layout,四方连续,Element,Structure
团龙,Fits_Layout,锦地,Element,Structure
团龙,Fits_Layout,开光,Element,Structure
团龙,Fits_Layout,边饰,Element,Structure
团龙,Fits_Layout,追珠式,Element,Structure
牡丹,Symbolizes,爱情,Element,Meaning
牡丹,Symbolizes,惜别,Element,Meaning
牡丹,Symbolizes,定情,Element,Meaning
牡丹,Symbolizes,结缘,Element,Meaning
山石,Co_Occurs_With,楼阁,Element,Element
八卦符号,Co_Occurs_With,阴阳鱼,Element,Element
云,Co_Occurs_With,凤,Element,Element
卷草,Co_Occurs_With,如意头,Element,Element
孔雀,Co_Occurs_With,枝叶,Element,Element
卷草,Co_Occurs_With,莲花,Element,Element
山石,Co_Occurs_With,海水,Element,Element
卷草,Co_Occurs_With,忍冬,Element,Element
松鼠,Co_Occurs_With,葡萄,Element,Element
枝叶,Co_Occurs_With,桃,Element,Element
云,Co_Occurs_With,狮子,Element,Element
枝叶,Co_Occurs_With,石榴,Element,Element
山石,Co_Occurs_With,竹,Element,Element
云,Co_Occurs_With,蝙蝠,Element,Element
松树,Co_Occurs_With,高士,Element,Element
山石,Co_Occurs_With,高士,Element,Element
山石,Co_Occurs_With,松树,Element,Element
水草,Co_Occurs_With,鱼,Element,Element
莲花,Co_Occurs_With,鸳鸯,Element,Element
云,Co_Occurs_With,鹤,Element,Element
山石,Co_Occurs_With,鹿,Element,Element
云,Co_Occurs_With,麒麟,Element,Element
凤,Co_Occurs_With,团龙,Element,Element
云,Co_Occurs_With,团龙,Element,Element
仕女,Co_Occurs_With,山石,Element,Element
仕女,Co_Occurs_With,楼阁,Element,Element
仕女,Co_Occurs_With,海水,Element,Element
楼阁,Co_Occurs_With,高士,Element,Element
海水,Co_Occurs_With,高士,Element,Element
吉祥,Related_To,福寿绵长,Meaning,Meaning
和合,Related_To,阴阳调和,Meaning,Meaning
吉庆,Related_To,祥瑞,Meaning,Meaning
吉庆,Related_To,喜庆,Meaning,Meaning
光明,Related_To,温暖,Meaning,Meaning
顺心顺意,Related_To,顺遂,Meaning,Meaning
华美,Related_To,华贵,Meaning,Meaning
圆满,Related_To,圆融,Meaning,Meaning
宁静致远,Related_To,澹泊明志,Meaning,Meaning
长久,Related_To,长命富贵,Meaning,Meaning
四季长春,Related_To,岁岁平安,Meaning,Meaning
多子多福,Related_To,繁衍昌盛,Meaning,Meaning
清净,Related_To,澄明,Meaning,Meaning
绵延,Related_To,连绵不断,Meaning,Meaning
富贵,Related_To,昌盛,Meaning,Meaning
威严,Related_To,权威,Meaning,Meaning
多子多福,Related_To,子嗣绵延,Meaning,Meaning
不折不挠,Related_To,坚韧,Meaning,Meaning
绵延不绝,Related_To,连绵不断,Meaning,Meaning
清廉,Related_To,高洁,Meaning,Meaning
延展,Related_To,连绵不断,Meaning,Meaning
祥瑞,Related_To,福祉,Meaning,Meaning
清雅高逸,Related_To,澄明,Meaning,Meaning
丰足,Related_To,富足,Meaning,Meaning
伉俪和合,Related_To,琴瑟和鸣,Meaning,Meaning
富贵,Related_To,禄位,Meaning,Meaning
和合,Related_To,夫妻美满,Meaning,Meaning
吉庆,Related_To,瑞气盈门,Meaning,Meaning
皇权,Related_To,至尊地位,Meaning,Meaning
吉祥,Related_To,安康顺遂,Meaning,Meaning
八宝,Has_Visual_Source,MMKG/dataset_sketches\babao,Element,Folder
八卦符号,Has_Visual_Source,MMKG/dataset_sketches\baguafuhao,Element,Folder
蝙蝠,Has_Visual_Source,MMKG/dataset_sketches\bianfu,Element,Folder
梵字符号,Has_Visual_Source,MMKG/dataset_sketches\fanzifuhao,Element,Folder
凤,Has_Visual_Source,MMKG/dataset_sketches\feng,Element,Folder
高士,Has_Visual_Source,MMKG/dataset_sketches\gaoshi,Element,Folder
公鸡,Has_Visual_Source,MMKG/dataset_sketches\gongji,Element,Folder
瓜,Has_Visual_Source,MMKG/dataset_sketches\gua,Element,Folder
桂花,Has_Visual_Source,MMKG/dataset_sketches\guihua,Element,Folder
海水,Has_Visual_Source,MMKG/dataset_sketches\haishui,Element,Folder
鹤,Has_Visual_Source,MMKG/dataset_sketches\he,Element,Folder
蝴蝶,Has_Visual_Source,MMKG/dataset_sketches\hudie,Element,Folder
回纹,Has_Visual_Source,MMKG/dataset_sketches\huiwen,Element,Folder
葫芦,Has_Visual_Source,MMKG/dataset_sketches\hulu,Element,Folder
蕉叶,Has_Visual_Source,MMKG/dataset_sketches\jiaoye,Element,Folder
卷草,Has_Visual_Source,MMKG/dataset_sketches\juancao,Element,Folder
菊花,Has_Visual_Source,MMKG/dataset_sketches\juhua,Element,Folder
孔雀,Has_Visual_Source,MMKG/dataset_sketches\kongque,Element,Folder
兰花,Has_Visual_Source,MMKG/dataset_sketches\lanhua,Element,Folder
莲花,Has_Visual_Source,MMKG/dataset_sketches\lianhua,Element,Folder
灵芝,Has_Visual_Source,MMKG/dataset_sketches\lingzhi,Element,Folder
楼阁,Has_Visual_Source,MMKG/dataset_sketches\louge,Element,Folder
鹿,Has_Visual_Source,MMKG/dataset_sketches\lu,Element,Folder
梅,Has_Visual_Source,MMKG/dataset_sketches\mei,Element,Folder
牡丹,Has_Visual_Source,MMKG/dataset_sketches\mudan,Element,Folder
螃蟹,Has_Visual_Source,MMKG/dataset_sketches\pangxie,Element,Folder
葡萄,Has_Visual_Source,MMKG/dataset_sketches\putao,Element,Folder
麒麟,Has_Visual_Source,MMKG/dataset_sketches\qilin,Element,Folder
忍冬,Has_Visual_Source,MMKG/dataset_sketches\rendong,Element,Folder
如意头,Has_Visual_Source,MMKG/dataset_sketches\ruyitou,Element,Folder
山石,Has_Visual_Source,MMKG/dataset_sketches\shanshi,Element,Folder
石榴,Has_Visual_Source,MMKG/dataset_sketches\shiliu,Element,Folder
仕女,Has_Visual_Source,MMKG/dataset_sketches\shinv,Element,Folder
狮子,Has_Visual_Source,MMKG/dataset_sketches\shizi,Element,Folder
水草,Has_Visual_Source,MMKG/dataset_sketches\shuicao,Element,Folder
松鼠,Has_Visual_Source,MMKG/dataset_sketches\songshu_mouse,Element,Folder
松树,Has_Visual_Source,MMKG/dataset_sketches\songshu_tree,Element,Folder
桃,Has_Visual_Source,MMKG/dataset_sketches\tao,Element,Folder
铜钱,Has_Visual_Source,MMKG/dataset_sketches\tongqian,Element,Folder
兔,Has_Visual_Source,MMKG/dataset_sketches\tu,Element,Folder
团龙,Has_Visual_Source,MMKG/dataset_sketches\tuanlong,Element,Folder
喜鹊,Has_Visual_Source,MMKG/dataset_sketches\xique,Element,Folder
喜字字符,Has_Visual_Source,MMKG/dataset_sketches\xizizifu,Element,Folder
羊,Has_Visual_Source,MMKG/dataset_sketches\yang,Element,Folder
婴儿,Has_Visual_Source,MMKG/dataset_sketches\yinger,Element,Folder
璎珞,Has_Visual_Source,MMKG/dataset_sketches\yingluo,Element,Folder
阴阳鱼,Has_Visual_Source,MMKG/dataset_sketches\yinyangyu,Element,Folder
鱼,Has_Visual_Source,MMKG/dataset_sketches\yu,Element,Folder
鸳鸯,Has_Visual_Source,MMKG/dataset_sketches\yuanyang,Element,Folder
月季,Has_Visual_Source,MMKG/dataset_sketches\yueji,Element,Folder
云,Has_Visual_Source,MMKG/dataset_sketches\yun,Element,Folder
枝叶,Has_Visual_Source,MMKG/dataset_sketches\zhiye,Element,Folder
竹,Has_Visual_Source,MMKG/dataset_sketches\zhu,Element,Folder
山石,Is_Category,Organic,Element,Attribute
楼阁,Is_Category,Geometric,Element,Attribute
仕女,Is_Category,Organic,Element,Attribute
兔,Is_Category,Organic,Element,Attribute
八卦符号,Is_Category,Geometric,Element,Attribute
阴阳鱼,Is_Category,Geometric,Element,Attribute
凤,Is_Category,Organic,Element,Attribute
云,Is_Category,Organic,Element,Attribute
喜字字符,Is_Category,Geometric,Element,Attribute
枝叶,Is_Category,Organic,Element,Attribute
如意头,Is_Category,Geometric,Element,Attribute
卷草,Is_Category,Organic,Element,Attribute
婴儿,Is_Category,Organic,Element,Attribute
孔雀,Is_Category,Organic,Element,Attribute
莲花,Is_Category,Organic,Element,Attribute
海水,Is_Category,Organic,Element,Attribute
忍冬,Is_Category,Organic,Element,Attribute
月季,Is_Category,Organic,Element,Attribute
松鼠,Is_Category,Organic,Element,Attribute
葡萄,Is_Category,Organic,Element,Attribute
桃,Is_Category,Organic,Element,Attribute
梅,Is_Category,Organic,Element,Attribute
梵字符号,Is_Category,Geometric,Element,Attribute
灵芝,Is_Category,Organic,Element,Attribute
牡丹,Is_Category,Organic,Element,Attribute
狮子,Is_Category,Organic,Element,Attribute
璎珞,Is_Category,Geometric,Element,Attribute
石榴,Is_Category,Organic,Element,Attribute
竹,Is_Category,Organic,Element,Attribute
羊,Is_Category,Organic,Element,Attribute
蕉叶,Is_Category,Organic,Element,Attribute
蝙蝠,Is_Category,Organic,Element,Attribute
蝴蝶,Is_Category,Organic,Element,Attribute
高士,Is_Category,Organic,Element,Attribute
松树,Is_Category,Organic,Element,Attribute
鱼,Is_Category,Organic,Element,Attribute
水草,Is_Category,Organic,Element,Attribute
鸳鸯,Is_Category,Organic,Element,Attribute
鹤,Is_Category,Organic,Element,Attribute
鹿,Is_Category,Organic,Element,Attribute
麒麟,Is_Category,Organic,Element,Attribute
葫芦,Is_Category,Organic,Element,Attribute
喜鹊,Is_Category,Organic,Element,Attribute
回纹,Is_Category,Geometric,Element,Attribute
团龙,Is_Category,Organic,Element,Attribute
公鸡,Is_Category,Organic,Element,Attribute
螃蟹,Is_Category,Organic,Element,Attribute
桂花,Is_Category,Organic,Element,Attribute
瓜,Is_Category,Organic,Element,Attribute
菊花,Is_Category,Organic,Element,Attribute
兰花,Is_Category,Organic,Element,Attribute
铜钱,Is_Category,Geometric,Element,Attribute
八宝,Is_Category,Geometric,Element,Attribute
