review_no,review_file,previous_tier,source_group,original_relative_path,original_full_path,expected_sha256,sample_origin,source_reference
51,051__strict2_A__A14_d625113_p58_i03_397x113.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A14_d625113_p58_i03_397x113.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A14_d625113_p58_i03_397x113.png,D1899BBC528D686E7E9F9FEA9C27F13BEC7D133E729F15E83B2D09B7E6DD20E0,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A14_d625113_p58_i03_397x113.png
53,053__strict2_A__A16_d625113_p58_i06_397x137.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A16_d625113_p58_i06_397x137.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A16_d625113_p58_i06_397x137.png,1CDD84A5C3E47428E0B0FF82A7BF09D8CA7C4F83EED4583FA8F9E0E36DB03F3E,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A16_d625113_p58_i06_397x137.png
59,059__strict2_A__A22_d01430115_p65_i03_259x108.jpeg,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A22_d01430115_p65_i03_259x108.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A22_d01430115_p65_i03_259x108.jpeg,A006C4AA0F8D38934E23135C11DCCCB3F388BCEF8CA7D848E34858D839DECE1B,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A22_d01430115_p65_i03_259x108.jpeg
60,060__strict2_A__A23_d01430115_p65_i07_255x128.jpeg,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A23_d01430115_p65_i07_255x128.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A23_d01430115_p65_i07_255x128.jpeg,AEDD4705D1EBA1FC2C448DF4DE106A784407156471B3428B6776E12F43417434,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A23_d01430115_p65_i07_255x128.jpeg
61,061__strict2_A__A24_d01430115_p66_i00_260x91.jpeg,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A24_d01430115_p66_i00_260x91.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A24_d01430115_p66_i00_260x91.jpeg,DF63A60366C9BD891ABE47859E5251C1E71DC6BFE5A6DF7F461EFE5E2FBAA94C,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A24_d01430115_p66_i00_260x91.jpeg
73,073__strict2_B__B05_d625113_p33_i01_539x176.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B05_d625113_p33_i01_539x176.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B05_d625113_p33_i01_539x176.jpeg,854835F63C9FD4427DA0F37E462F015FBC08D9CE55B7CD3A716A336B68CA3408,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B05_d625113_p33_i01_539x176.jpeg
74,074__strict2_B__B06_d625113_p33_i03_522x132.png,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B06_d625113_p33_i03_522x132.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B06_d625113_p33_i03_522x132.png,E6CA6D16E645C557FE4D66712BB1DD4ADC127B2F2FF4228135EEA8C8FB8C6E7E,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B06_d625113_p33_i03_522x132.png
75,075__strict2_B__B07_d625113_p58_i00_369x150.png,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B07_d625113_p58_i00_369x150.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B07_d625113_p58_i00_369x150.png,36CEAE7DFB7835CC5825595EC8CA0FAFA5E0ED3E03C560BE28C7849F7755AFC6,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B07_d625113_p58_i00_369x150.png
77,077__strict2_B__B09_d625113_p60_i00_369x108.png,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B09_d625113_p60_i00_369x108.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B09_d625113_p60_i00_369x108.png,E96808DD2F6543813D626B8838A11F328D77355439B562B2FF33270B1E477220,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B09_d625113_p60_i00_369x108.png
78,078__strict2_B__B10_d625113_p60_i02_369x84.png,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B10_d625113_p60_i02_369x84.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B10_d625113_p60_i02_369x84.png,D124A682E0D02783B483BCE4CFA2558B4CDF62509BE81C1D8056043BE6293BAE,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B10_d625113_p60_i02_369x84.png
79,079__strict2_B__B11_d625113_p70_i01_400x60.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B11_d625113_p70_i01_400x60.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B11_d625113_p70_i01_400x60.jpeg,E15248AFF95130FC7D947768A1B29184101F8CCBA860594DC7D9931C94027BDE,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B11_d625113_p70_i01_400x60.jpeg
80,080__strict2_B__B12_d625113_p70_i02_316x85.png,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B12_d625113_p70_i02_316x85.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B12_d625113_p70_i02_316x85.png,2A802BF9777697E8E959D64E9CD3A8467E55432283DCBAD52974A73E9FFBFDC1,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B12_d625113_p70_i02_316x85.png
82,082__strict2_B__B14_d01430115_p16_i01_209x110.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B14_d01430115_p16_i01_209x110.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B14_d01430115_p16_i01_209x110.jpeg,29B52C97A3AA97003EE9B0AF9E588997787D68C5819F8001A577D12C289E6A04,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B14_d01430115_p16_i01_209x110.jpeg
83,083__strict2_B__B15_d01430115_p65_i01_228x108.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B15_d01430115_p65_i01_228x108.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B15_d01430115_p65_i01_228x108.jpeg,BE3C92C0D496010C13731FD17A5C053F106A70B6CA86F188527FD8AA6AC5A0CC,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B15_d01430115_p65_i01_228x108.jpeg
84,084__strict2_B__B16_d01430115_p65_i04_234x108.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B16_d01430115_p65_i04_234x108.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B16_d01430115_p65_i04_234x108.jpeg,A52C18DC7AFA44C531EB29752EBA526CC1DEEAEC3E100B6F4017061AC50C3726,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B16_d01430115_p65_i04_234x108.jpeg
85,085__strict2_B__B17_d01430115_p65_i05_246x102.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B17_d01430115_p65_i05_246x102.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B17_d01430115_p65_i05_246x102.jpeg,BF22E959D1BC0BC38B740293101EFB68FF5D3211C3332A63EDC844FBE97AD256,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B17_d01430115_p65_i05_246x102.jpeg
86,086__strict2_B__B18_d01430115_p65_i06_217x110.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B18_d01430115_p65_i06_217x110.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B18_d01430115_p65_i06_217x110.jpeg,399493E4FC7A8811E8F132016E6E6E43609C3DB7E87DEBAA10EEBCCD185958C9,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B18_d01430115_p65_i06_217x110.jpeg
87,087__strict2_B__B19_d01430115_p66_i03_240x109.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B19_d01430115_p66_i03_240x109.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B19_d01430115_p66_i03_240x109.jpeg,5B4206FD97E4050F3E8F44305EC0D635967B6AF22011B43D529AFB287A39B745,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B19_d01430115_p66_i03_240x109.jpeg
88,088__strict2_B__B20_d01430115_p66_i04_247x100.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B20_d01430115_p66_i04_247x100.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B20_d01430115_p66_i04_247x100.jpeg,CA03986E0FBD447E41766AEF6A0E7759411F7347FD8E269A49A443DA1E021506,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B20_d01430115_p66_i04_247x100.jpeg
89,089__strict2_B__B21_d01430115_p66_i11_250x117.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B21_d01430115_p66_i11_250x117.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B21_d01430115_p66_i11_250x117.jpeg,E4C018B77914C927E3B6267289EAF31B0C3CB939A1C83CB602C30C124DC84968,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B21_d01430115_p66_i11_250x117.jpeg
92,092__strict2_B__B24_d01451691_p19_mogao332_left.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B24_d01451691_p19_mogao332_left.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B24_d01451691_p19_mogao332_left.jpeg,B9531FB6F3350E449E5CE7CA75CC71352AACE6F5E9071C87EEDD7775A05D935E,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B24_d01451691_p19_mogao332_left.jpeg
93,093__strict2_B__B25_d01451691_p19_mogao332_right.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B25_d01451691_p19_mogao332_right.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B25_d01451691_p19_mogao332_right.jpeg,5192C0DE9E0851CE1954C0B45C5BAF89D6AF460357FC658F42DADFAA19F17119,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B25_d01451691_p19_mogao332_right.jpeg
94,094__strict2_B__B26_d625113_dense_flower_row.png,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B26_d625113_dense_flower_row.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B26_d625113_dense_flower_row.png,A3B35E23AD4C95B2208FE809A5CF4432B8908B8DB4D4CA3BE87849978C5372E9,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B26_d625113_dense_flower_row.png
95,095__strict2_B__B27_d01451691_mogao171_dense_row1.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B27_d01451691_mogao171_dense_row1.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B27_d01451691_mogao171_dense_row1.jpeg,8FFC54991E5E69DC393239E181F80DF68F5E1DA067FC3C0C1183E18A397062B2,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B27_d01451691_mogao171_dense_row1.jpeg
96,096__strict2_B__B28_d01451691_mogao171_dense_row2.jpeg,B,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/B_auxiliary/B28_d01451691_mogao171_dense_row2.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B28_d01451691_mogao171_dense_row2.jpeg,C7D18F249E68A71EFC1146503AABA44908D43FA652BE1662B63CA6ACD6456B46,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B28_d01451691_mogao171_dense_row2.jpeg
97,097__web_U__A01_sina_mixed_juhua_shiliu_baoxiang.jpg,U,web_20260714,web_20260714/A01_sina_mixed_juhua_shiliu_baoxiang.jpg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\A01_sina_mixed_juhua_shiliu_baoxiang.jpg,33532E134D8A9607374060AF01D7E2A5F9E770BC00EE51CE161648B617A37628,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\A01_sina_mixed_juhua_shiliu_baoxiang.jpg
98,098__web_U__A02_dunhuang_tang_scroll_borders.jpeg,U,web_20260714,web_20260714/A02_dunhuang_tang_scroll_borders.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\A02_dunhuang_tang_scroll_borders.jpeg,086FD88C358C088A69A20A6D467C6AB5871DEEC810BB091FBA676415DDE3A1B5,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\A02_dunhuang_tang_scroll_borders.jpeg
100,100__web_U__B02_sina_mixed_shancha_zhuzi_yueji.jpg,U,web_20260714,web_20260714/B02_sina_mixed_shancha_zhuzi_yueji.jpg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\B02_sina_mixed_shancha_zhuzi_yueji.jpg,9ADB2483E38736CC723A0E8D868D8FED159863D253D8528C1F576731E4374AFA,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\B02_sina_mixed_shancha_zhuzi_yueji.jpg
101,101__web_U__B03_dunhuang_northern_wei_borders.jpeg,U,web_20260714,web_20260714/B03_dunhuang_northern_wei_borders.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\B03_dunhuang_northern_wei_borders.jpeg,27D9898A0F923C57C4FD165932B2FAB40944FBAB1F621D3DB93E7294E2F161F7,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_20260714\B03_dunhuang_northern_wei_borders.jpeg
