"review_no","review_file","previous_tier","original_relative_path","original_full_path","bytes","sha256"
"11","011__local_A__Snipaste_2026-04-18_15-55-07.png","A","local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-55-07.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-07.png","39395","ED646D6DB1C7660759554C47D9DD9B45510416FA2038BBD2AD8757EA8673940C"
"12","012__local_A__Snipaste_2026-04-18_15-55-38.png","A","local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-55-38.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-38.png","93225","8EE6F4CEABF882BDC92033B3FBCD1E4CCD4F63B4309F322D5319F7708379E6E7"
"13","013__local_A__Snipaste_2026-04-18_15-57-54.png","A","local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-57-54.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-57-54.png","54903","E99E1F763F0C73B24A99BF6B5B5667A857C02DCB375E5B3DDCB5B517FD3D3A36"
"14","014__local_B__Snipaste_2026-04-13_15-34-57.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-13_15-34-57.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-13_15-34-57.png","49847","171AFD9221B6A7EE7009C80404AF70ABD2E0898A2F34CD3C986079EB1F010FE3"
"15","015__local_B__Snipaste_2026-04-18_15-50-53.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-50-53.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-50-53.png","90067","407DD3F3109FDD923597487C48D5D2878393BD0E2CCDE04311CC08760793FC10"
"16","016__local_B__Snipaste_2026-04-18_15-51-12.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-51-12.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-51-12.png","79524","4C2BAA6F353F2BA981733BE49A3DEEC90E0A83A66AFE290B5587056DCED40852"
"17","017__local_B__Snipaste_2026-04-18_15-52-49.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-52-49.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-52-49.png","64773","F7F6E701805B7BC260ADE9A517A9453D9AAB6D5070BCC1AF04124BC49B13B011"
"18","018__local_B__Snipaste_2026-04-18_15-54-50.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-54-50.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-54-50.png","51498","B55A58895BA3B04FAAC6FC6B72EAAB93CB8CE010B4736E2846853AFC547DB7AD"
"19","019__local_B__Snipaste_2026-04-18_15-55-54.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-55-54.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-55-54.png","71006","1BD88E2614198D24DC7D97F1A364B42312C8C7FA41CDF64F609BC05279F5F625"
"20","020__local_B__Snipaste_2026-04-18_15-56-05.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-56-05.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-56-05.png","72217","407AE2F9B918643E06E3B3CC813AA150AE25397D4D9E4A75E8B8549AE5F3C5B9"
"21","021__local_B__Snipaste_2026-04-18_15-57-30.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-57-30.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-57-30.png","59604","FA358C91943E2E7EA2C68B983B3C3E8817D265B6BE91407DC115720CDB5A5CE0"
"22","022__local_B__Snipaste_2026-04-18_15-57-40.png","B","local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-57-40.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-57-40.png","87019","6DF0C92B82EC00AF74A01F03BCB04DCD5E2E0A4C7DA4BDCA3A5C8D45D3004026"
"23","023__strict1_A__A01_mogao321_top_scroll.png","A","strict_2d_lineart_20260714/A_core/A01_mogao321_top_scroll.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A01_mogao321_top_scroll.png","1022247","09696BEDD271BFC54CDFA168DC4B0B930C1C5EF11C25464E652FDB816D781164"
"24","024__strict1_A__A02_thesis_mogao211.png","A","strict_2d_lineart_20260714/A_core/A02_thesis_mogao211.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A02_thesis_mogao211.png","40323","A8CE24D2FC439F47AFDD6053C85D15D9DAA102F1789C78B5FEEEDA5235C33600"
"25","025__strict1_A__A03_thesis_mogao392.png","A","strict_2d_lineart_20260714/A_core/A03_thesis_mogao392.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A03_thesis_mogao392.png","52747","26B8A1CF6D32291DCA9A16C9D39B28024010F54D23907B79E8C403B3E7CD2FF9"
"26","026__strict1_A__A04_thesis_mogao225_row2.png","A","strict_2d_lineart_20260714/A_core/A04_thesis_mogao225_row2.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A04_thesis_mogao225_row2.png","217309","FAD74EA404F3B9306AED32E80D3F8CEBA42C028626D8F8AE89D4EF69440641CB"
"27","027__strict1_A__A05_mogao225_lotus_scroll.png","A","strict_2d_lineart_20260714/A_core/A05_mogao225_lotus_scroll.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A05_mogao225_lotus_scroll.png","1155388","4193D07B927B34F50CE20483D781BF768D3279F9B6565C7C8FF07965B06A5ACE"
"28","028__strict1_A__A06_thesis_mogao418_row2.png","A","strict_2d_lineart_20260714/A_core/A06_thesis_mogao418_row2.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A06_thesis_mogao418_row2.png","60927","AEF133AB4F2AD0F153A5BD7C5B3BD3517D682F4325664EF6B1FFC66268821EA1"
"29","029__strict1_A__A07_thesis_mogao418_row3.png","A","strict_2d_lineart_20260714/A_core/A07_thesis_mogao418_row3.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A07_thesis_mogao418_row3.png","57131","0013B37042EC885F692B022735078D5B22183CEF2603B063A5B5D052CE62079B"
"30","030__strict1_A__A08_journal_mogao180.png","A","strict_2d_lineart_20260714/A_core/A08_journal_mogao180.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A08_journal_mogao180.png","150139","EC310ACE042EDEABF3B5821DC9C71428C043F5FF05111B1454C44E3B4ABE5A0F"
"31","031__strict1_B__B01_journal_mogao154.png","B","strict_2d_lineart_20260714/B_auxiliary/B01_journal_mogao154.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B01_journal_mogao154.png","149896","E33B6902BF7CDC2978B654FADD22763C5FE7157B8D6442F4C736B9EA334ACFAB"
"32","032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png","B","strict_2d_lineart_20260714/B_auxiliary/B02_zsbeike_mogao196_dense_scroll.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B02_zsbeike_mogao196_dense_scroll.png","671871","B7DE0AF6AB1E998F595F2FD658F23D7B764AA7A920D849F9DA020BAB0D05C813"
"33","033__strict1_B__B03_traditional_art_mogao310_flower_vine.png","B","strict_2d_lineart_20260714/B_auxiliary/B03_traditional_art_mogao310_flower_vine.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B03_traditional_art_mogao310_flower_vine.png","401274","7AA7DB13637092F1F9728CC63B55B079ADEFA0EB822B32B4C3F83222DAB7CC3A"
"34","034__strict1_B__B04_thesis_mogao319.png","B","strict_2d_lineart_20260714/B_auxiliary/B04_thesis_mogao319.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B04_thesis_mogao319.png","200994","FB2FCAECFF48F68DFF1A2FFCD66A1EFBB31C520472AD1AD8E22196D89E487BAC"
"35","035__strict1_B__B05_thesis_mogao217.png","B","strict_2d_lineart_20260714/B_auxiliary/B05_thesis_mogao217.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B05_thesis_mogao217.png","204118","0FB9F1CB8DC22444FD99D24A8D4ADEA38277C927F6AB75278A6081F81131C8C8"
"36","036__strict1_B__B06_thesis_mogao146.png","B","strict_2d_lineart_20260714/B_auxiliary/B06_thesis_mogao146.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B06_thesis_mogao146.png","136906","2A027FA740295BFCF59D0454DD54B74B6770AC2574E4FADB2EB1CD8912AC0087"
"37","037__strict1_B__B07_sohu_simple_scroll.jpeg","B","strict_2d_lineart_20260714/B_auxiliary/B07_sohu_simple_scroll.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B07_sohu_simple_scroll.jpeg","57629","256A3B329735969340D458F2A6CA1D5AA643BB7667C03B93ED9E881C7AE96526"
"38","038__strict1_B__B08_thesis_mogao225_dense_row.png","B","strict_2d_lineart_20260714/B_auxiliary/B08_thesis_mogao225_dense_row.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B08_thesis_mogao225_dense_row.png","227959","7B619E2B2F13C9A4D3405E9A5D6315D68DBDE68D245B10FD932ED6FF78E38E77"
"39","039__strict1_B__B09_thesis_mogao418_medallion_row.png","B","strict_2d_lineart_20260714/B_auxiliary/B09_thesis_mogao418_medallion_row.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B09_thesis_mogao418_medallion_row.png","61273","70AD787FA17ACF4BB8124D1C7C96DC5E25966152637DC37AEB35479A8CE26152"
"40","040__strict2_A__A01_d625113_p16_i02_501x141.png","A","strict_2d_lineart_batch2_20260714/A_core/A01_d625113_p16_i02_501x141.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A01_d625113_p16_i02_501x141.png","18063","A900C0EE4A201A346C820787EA972371B493DC4D275ADE85292FF44BA2A1E941"
"41","041__strict2_A__A02_d625113_p16_i03_507x63.png","A","strict_2d_lineart_batch2_20260714/A_core/A02_d625113_p16_i03_507x63.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A02_d625113_p16_i03_507x63.png","7832","88D0C9925E809D2FA3F0AB2C0089953ACEC9ACDCDA0237E90326E77C55E9D7F1"
"42","042__strict2_A__A03_d625113_p22_i01_304x115.png","A","strict_2d_lineart_batch2_20260714/A_core/A03_d625113_p22_i01_304x115.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A03_d625113_p22_i01_304x115.png","29960","51C1F4063B6B5636EAF4B3E5B0221ABC09E5013A89FBC520B054436BB2B5639A"
"43","043__strict2_A__A04_d625113_p24_i01_327x89.png","A","strict_2d_lineart_batch2_20260714/A_core/A04_d625113_p24_i01_327x89.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A04_d625113_p24_i01_327x89.png","21757","3D448227CE95F2641461116F9B4F19741795477C79007B14009C9D10CC35FDC3"
"44","044__strict2_A__A05_d625113_p24_i02_340x91.png","A","strict_2d_lineart_batch2_20260714/A_core/A05_d625113_p24_i02_340x91.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A05_d625113_p24_i02_340x91.png","17244","959D3FE4C0F675F9E954EF21B38FEC328D521ABB1FAC21C6B5FDB25555636CC9"
"45","045__strict2_A__A06_d625113_p32_i00_397x121.png","A","strict_2d_lineart_batch2_20260714/A_core/A06_d625113_p32_i00_397x121.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A06_d625113_p32_i00_397x121.png","4836","7992AEF356EA5CE35ABF601C174298BFB2BD0C0128721B8DBFD4E36C86E9855C"
"46","046__strict2_A__A07_d625113_p32_i01_397x109.png","A","strict_2d_lineart_batch2_20260714/A_core/A07_d625113_p32_i01_397x109.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A07_d625113_p32_i01_397x109.png","40603","524CB045A0FA3FE856C0B0E3CCDB364C878C89C50DAEBD38267AD1F9680FA891"
"47","047__strict2_A__A09_d625113_p40_i02_397x104.png","A","strict_2d_lineart_batch2_20260714/A_core/A09_d625113_p40_i02_397x104.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A09_d625113_p40_i02_397x104.png","40906","4F38924D9C476AE95842F8E1AFF3384C53715A869A5ECE4EDA54A182F4A4C1CB"
"48","048__strict2_A__A10_d625113_p42_i00_385x118.png","A","strict_2d_lineart_batch2_20260714/A_core/A10_d625113_p42_i00_385x118.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A10_d625113_p42_i00_385x118.png","18531","F57B53817F00C9254EA9351E01964A29601908274354EDCD790E08980501F741"
"49","049__strict2_A__A11_d625113_p57_i01_539x120.png","A","strict_2d_lineart_batch2_20260714/A_core/A11_d625113_p57_i01_539x120.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A11_d625113_p57_i01_539x120.png","30783","138C3B31F11B9F8F9EC3ADC2466F64ABB0A68F3A78B385032A0F774841781447"
"50","050__strict2_A__A13_d625113_p58_i02_369x151.png","A","strict_2d_lineart_batch2_20260714/A_core/A13_d625113_p58_i02_369x151.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A13_d625113_p58_i02_369x151.png","49191","8FE5D2BADE79C2B2B145AFBEABB42149431AB07AA8B82FFD25ECF072921EEE58"
"51","051__strict2_A__A14_d625113_p58_i03_397x113.png","A","strict_2d_lineart_batch2_20260714/A_core/A14_d625113_p58_i03_397x113.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A14_d625113_p58_i03_397x113.png","42953","D1899BBC528D686E7E9F9FEA9C27F13BEC7D133E729F15E83B2D09B7E6DD20E0"
"52","052__strict2_A__A15_d625113_p58_i05_397x114.png","A","strict_2d_lineart_batch2_20260714/A_core/A15_d625113_p58_i05_397x114.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A15_d625113_p58_i05_397x114.png","26063","51FC9C5189C1056759EAF04CC38EB4957A68035E6B1C59D025E3B37755EB44B5"
"53","053__strict2_A__A16_d625113_p58_i06_397x137.png","A","strict_2d_lineart_batch2_20260714/A_core/A16_d625113_p58_i06_397x137.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A16_d625113_p58_i06_397x137.png","84252","1CDD84A5C3E47428E0B0FF82A7BF09D8CA7C4F83EED4583FA8F9E0E36DB03F3E"
"54","054__strict2_A__A17_d625113_p59_i00_425x81.png","A","strict_2d_lineart_batch2_20260714/A_core/A17_d625113_p59_i00_425x81.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A17_d625113_p59_i00_425x81.png","33055","26D40EB067362A80BBCA3DE8F2CA221C09B4354F7E77DA6370C3C318F504AFBF"
"55","055__strict2_A__A18_d625113_p59_i01_397x104.png","A","strict_2d_lineart_batch2_20260714/A_core/A18_d625113_p59_i01_397x104.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A18_d625113_p59_i01_397x104.png","36248","3389FB8B7CD58B913AECF10506464895A77D539FFC3194ADB33F8CDCDEEE1600"
"56","056__strict2_A__A19_d625113_p70_i03_402x73.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A19_d625113_p70_i03_402x73.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A19_d625113_p70_i03_402x73.jpeg","13219","8E2A5AE4A7CB1EFE1EC7332537AE96F972079E046922ED31F63F667E642FE063"
"57","057__strict2_A__A20_d01430115_p16_i02_284x111.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A20_d01430115_p16_i02_284x111.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A20_d01430115_p16_i02_284x111.jpeg","12138","ACF294D0AFC27BEEDD1AAB6663E993E03BB9304D5ED3761CE3140E8A21BAC97A"
"58","058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A21_d01430115_p65_i02_232x116.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A21_d01430115_p65_i02_232x116.jpeg","10960","5400D481018F82D2C759889F94249BE124DB6F223CBB170272A84128F2055B2C"
"59","059__strict2_A__A22_d01430115_p65_i03_259x108.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A22_d01430115_p65_i03_259x108.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A22_d01430115_p65_i03_259x108.jpeg","12672","A006C4AA0F8D38934E23135C11DCCCB3F388BCEF8CA7D848E34858D839DECE1B"
"60","060__strict2_A__A23_d01430115_p65_i07_255x128.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A23_d01430115_p65_i07_255x128.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A23_d01430115_p65_i07_255x128.jpeg","13187","AEDD4705D1EBA1FC2C448DF4DE106A784407156471B3428B6776E12F43417434"
"61","061__strict2_A__A24_d01430115_p66_i00_260x91.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A24_d01430115_p66_i00_260x91.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A24_d01430115_p66_i00_260x91.jpeg","11717","DF63A60366C9BD891ABE47859E5251C1E71DC6BFE5A6DF7F461EFE5E2FBAA94C"
"62","062__strict2_A__A25_d01430115_p66_i05_270x98.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A25_d01430115_p66_i05_270x98.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A25_d01430115_p66_i05_270x98.jpeg","11045","60F70F14D2DFE8D1C33910ECCBB49E87C5BBB19A83332C2628CCF7DD9B89AB17"
"63","063__strict2_A__A26_d01430115_p66_i08_263x122.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A26_d01430115_p66_i08_263x122.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A26_d01430115_p66_i08_263x122.jpeg","11707","70A954751A38FD843F08339890AB945A6210339D92F867AAD66A9E7AFA469536"
"64","064__strict2_A__A27_d01430115_p66_i10_248x92.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A27_d01430115_p66_i10_248x92.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A27_d01430115_p66_i10_248x92.jpeg","9509","D32A199B4DDD3026600F16FC9415F68F9F5D7CBA324E58EF38532F4E9CEEC94D"
"65","065__strict2_A__A28_d01430115_p67_i01_252x97.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A28_d01430115_p67_i01_252x97.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A28_d01430115_p67_i01_252x97.jpeg","12293","D2955CACD8BE76678E76B224FD430CF0DB208AA4D677006C2593C04693FFEF2F"
"66","066__strict2_A__A29_d01430115_p67_i02_275x119.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A29_d01430115_p67_i02_275x119.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A29_d01430115_p67_i02_275x119.jpeg","14189","558CE7F3955EE4AFE5660C6AE243EEA633E39A7FF8F70DDEE3786ADA08DB801F"
"67","067__strict2_A__A30_d01451691_p18_i00_617x180.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A30_d01451691_p18_i00_617x180.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A30_d01451691_p18_i00_617x180.jpeg","23778","F51FFF47D67A86774A027C17018E08F8898AB720571DDB8F82035452CD059799"
"68","068__strict2_A__A31_d01451691_p18_i02_440x114.jpeg","A","strict_2d_lineart_batch2_20260714/A_core/A31_d01451691_p18_i02_440x114.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A31_d01451691_p18_i02_440x114.jpeg","16100","6817FD57773C0FE4E7B8779DCDEC40409A82DD913909AF32E34A8F0B3C64D833"
"69","069__strict2_B__B01_d625113_p16_i00_510x101.png","B","strict_2d_lineart_batch2_20260714/B_auxiliary/B01_d625113_p16_i00_510x101.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B01_d625113_p16_i00_510x101.png","11322","D8FFD86CB97FF05CB38FE3AB9877AE5CB7AA4AA0D06337CCE8997C46994E70C9"
"70","070__strict2_B__B02_d625113_p16_i01_505x93.png","B","strict_2d_lineart_batch2_20260714/B_auxiliary/B02_d625113_p16_i01_505x93.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B02_d625113_p16_i01_505x93.png","12947","D91C792F2DE9873A72C25BFB97B6D4A3FCB3E943D3111FD19448FCF6E7626EA6"
"71","071__strict2_B__B03_d625113_p16_i05_506x116.png","B","strict_2d_lineart_batch2_20260714/B_auxiliary/B03_d625113_p16_i05_506x116.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B03_d625113_p16_i05_506x116.png","16137","077BAE10EAB793B2AC484B88947EFAD59CE37F22AE96F7366610C853E2ECBA81"
"72","072__strict2_B__B04_d625113_p25_i00_696x81.png","B","strict_2d_lineart_batch2_20260714/B_auxiliary/B04_d625113_p25_i00_696x81.png","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B04_d625113_p25_i00_696x81.png","61524","D4A7EF51D5FFC9000CB1F9FADFDDBED5F72FE15E26B23DE86F9BE662133C52D4"
"73","073__strict2_B__B05_d625113_p33_i01_539x176.jpeg","B","strict_2d_lineart_batch2_20260714/B_auxiliary/B05_d625113_p33_i01_539x176.jpeg","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\B_auxiliary\B05_d625113_p33_i01_539x176.jpeg","15540","854835F63C9FD4427DA0F37E462F015FBC08D9CE55B7CD3A716A336B68CA3408"
