"merged_id","merged_file","batch","original_file","selection_tier","sample_origin","source_group","source_reference","source_page","rights","visual_note","sha256","bytes","source_path"
"B1-011","B1_011__012__local_A__Snipaste_2026-04-18_15-55-38.png","screened_existing_20260715","012__local_A__Snipaste_2026-04-18_15-55-38.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-38.png","","source rights require review","","8ee6f4ceabf882bdc92033b3fbcd1e4ccd4f63b4309f322d5319f7708379e6e7","93225","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\012__local_A__Snipaste_2026-04-18_15-55-38.png"
"B1-012","B1_012__013__local_A__Snipaste_2026-04-18_15-57-54.png","screened_existing_20260715","013__local_A__Snipaste_2026-04-18_15-57-54.png","A","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-57-54.png","","source rights require review","","e99e1f763f0c73b24a99bf6b5b5667a857c02dcb375e5b3ddcb5b517fd3d3a36","54903","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\013__local_A__Snipaste_2026-04-18_15-57-54.png"
"B1-013","B1_013__014__local_B__Snipaste_2026-04-13_15-34-57.png","screened_existing_20260715","014__local_B__Snipaste_2026-04-13_15-34-57.png","B","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-13_15-34-57.png","","source rights require review","","171afd9221b6a7ee7009c80404af70abd2e0898a2f34cd3c986079eb1f010fe3","49847","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png"
"B1-014","B1_014__015__local_B__Snipaste_2026-04-18_15-50-53.png","screened_existing_20260715","015__local_B__Snipaste_2026-04-18_15-50-53.png","B","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-50-53.png","","source rights require review","","407dd3f3109fdd923597487c48d5d2878393bd0e2ccde04311cc08760793fc10","90067","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\015__local_B__Snipaste_2026-04-18_15-50-53.png"
"B1-015","B1_015__016__local_B__Snipaste_2026-04-18_15-51-12.png","screened_existing_20260715","016__local_B__Snipaste_2026-04-18_15-51-12.png","B","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-51-12.png","","source rights require review","","4c2baa6f353f2ba981733be49a3deec90e0a83a66afe290b5587056dced40852","79524","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png"
"B1-016","B1_016__017__local_B__Snipaste_2026-04-18_15-52-49.png","screened_existing_20260715","017__local_B__Snipaste_2026-04-18_15-52-49.png","B","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-52-49.png","","source rights require review","","f7f6e701805b7bc260ade9a517a9453d9aab6d5070bcc1af04124bc49b13b011","64773","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\017__local_B__Snipaste_2026-04-18_15-52-49.png"
"B1-017","B1_017__019__local_B__Snipaste_2026-04-18_15-55-54.png","screened_existing_20260715","019__local_B__Snipaste_2026-04-18_15-55-54.png","B","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-55-54.png","","source rights require review","","1bd88e2614198d24dc7d97f1a364b42312c8c7fa41cdf64f609bc05279f5f625","71006","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\019__local_B__Snipaste_2026-04-18_15-55-54.png"
"B1-018","B1_018__020__local_B__Snipaste_2026-04-18_15-56-05.png","screened_existing_20260715","020__local_B__Snipaste_2026-04-18_15-56-05.png","B","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-56-05.png","","source rights require review","","407ae2f9b918643e06e3b3cc813aa150ae25397d4d9e4a75e8b8549ae5f3c5b9","72217","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\020__local_B__Snipaste_2026-04-18_15-56-05.png"
"B1-019","B1_019__022__local_B__Snipaste_2026-04-18_15-57-40.png","screened_existing_20260715","022__local_B__Snipaste_2026-04-18_15-57-40.png","B","real_lineart","local_chanzhi_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-57-40.png","","source rights require review","","6df0c92b82ec00af74a01f03bcb04dcd5e2e0a4c7da4bdca3a5c8d45d3004026","87019","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\022__local_B__Snipaste_2026-04-18_15-57-40.png"
"B1-020","B1_020__024__strict1_A__A02_thesis_mogao211.png","screened_existing_20260715","024__strict1_A__A02_thesis_mogao211.png","A","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A02_thesis_mogao211.png","","source rights require review","","e9204f2016458b6e9afbe659dd477b7638dd7a54785daf3026ebbcea6667c389","119291","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\024__strict1_A__A02_thesis_mogao211.png"
"B1-021","B1_021__025__strict1_A__A03_thesis_mogao392.png","screened_existing_20260715","025__strict1_A__A03_thesis_mogao392.png","A","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A03_thesis_mogao392.png","","source rights require review","","8ad36dbefbcd5840d7334b83e55f3b007e7c4772ca5e50e2a3e5ab3e84e603f8","206745","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\025__strict1_A__A03_thesis_mogao392.png"
"B1-022","B1_022__026__strict1_A__A04_thesis_mogao225_row2.png","screened_existing_20260715","026__strict1_A__A04_thesis_mogao225_row2.png","A","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A04_thesis_mogao225_row2.png","","source rights require review","","fad74ea404f3b9306aed32e80d3f8ceba42c028626d8f8ae89d4ef69440641cb","217309","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\026__strict1_A__A04_thesis_mogao225_row2.png"
"B1-023","B1_023__028__strict1_A__A06_thesis_mogao418_row2.png","screened_existing_20260715","028__strict1_A__A06_thesis_mogao418_row2.png","A","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A06_thesis_mogao418_row2.png","","source rights require review","","aef133ab4f2ad0f153a5bd7c5b3bd3517d682f4325664ef6b1ffc66268821ea1","60927","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\028__strict1_A__A06_thesis_mogao418_row2.png"
"B1-024","B1_024__029__strict1_A__A07_thesis_mogao418_row3.png","screened_existing_20260715","029__strict1_A__A07_thesis_mogao418_row3.png","A","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A07_thesis_mogao418_row3.png","","source rights require review","","0013b37042ec885f692b022735078d5b22183cef2603b063a5b5d052ce62079b","57131","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\029__strict1_A__A07_thesis_mogao418_row3.png"
"B1-025","B1_025__030__strict1_A__A08_journal_mogao180.png","screened_existing_20260715","030__strict1_A__A08_journal_mogao180.png","A","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A08_journal_mogao180.png","","source rights require review","","ec310ace042edeabf3b5821dc9c71428c043f5ff05111b1454c44e3b4abe5a0f","150139","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\030__strict1_A__A08_journal_mogao180.png"
"B1-026","B1_026__031__strict1_B__B01_journal_mogao154.png","screened_existing_20260715","031__strict1_B__B01_journal_mogao154.png","B","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B01_journal_mogao154.png","","source rights require review","","e33b6902bf7cdc2978b654fadd22763c5fe7157b8d6442f4c736b9ea334acfab","149896","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png"
"B1-027","B1_027__032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png","screened_existing_20260715","032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png","B","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B02_zsbeike_mogao196_dense_scroll.png","","source rights require review","","b7de0af6ab1e998f595f2fd658f23d7b764aa7a920d849f9da020bab0d05c813","671871","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png"
"B1-028","B1_028__033__strict1_B__B03_traditional_art_mogao310_flower_vine.png","screened_existing_20260715","033__strict1_B__B03_traditional_art_mogao310_flower_vine.png","B","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B03_traditional_art_mogao310_flower_vine.png","","source rights require review","","7aa7db13637092f1f9728cc63b55b079adefa0eb822b32b4c3f83222dab7cc3a","401274","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\033__strict1_B__B03_traditional_art_mogao310_flower_vine.png"
"B1-029","B1_029__035__strict1_B__B05_thesis_mogao217.png","screened_existing_20260715","035__strict1_B__B05_thesis_mogao217.png","B","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B05_thesis_mogao217.png","","source rights require review","","0fb9f1cb8dc22444fd99d24a8d4adea38277c927f6ab75278a6081f81131c8c8","204118","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\035__strict1_B__B05_thesis_mogao217.png"
"B1-030","B1_030__036__strict1_B__B06_thesis_mogao146.png","screened_existing_20260715","036__strict1_B__B06_thesis_mogao146.png","B","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B06_thesis_mogao146.png","","source rights require review","","2a027fa740295bfcf59d0454dd54b74b6770ac2574e4fadb2eb1cd8912ac0087","136906","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\036__strict1_B__B06_thesis_mogao146.png"
"B1-031","B1_031__037__strict1_B__B07_sohu_simple_scroll.jpeg","screened_existing_20260715","037__strict1_B__B07_sohu_simple_scroll.jpeg","B","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B07_sohu_simple_scroll.jpeg","","source rights require review","","256a3b329735969340d458f2a6ca1d5aa643bb7667c03b93ed9e881c7ae96526","57629","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\037__strict1_B__B07_sohu_simple_scroll.jpeg"
"B1-032","B1_032__039__strict1_B__B09_thesis_mogao418_medallion_row.png","screened_existing_20260715","039__strict1_B__B09_thesis_mogao418_medallion_row.png","B","real_lineart","strict_2d_lineart_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B09_thesis_mogao418_medallion_row.png","","source rights require review","","70ad787fa17acf4bb8124d1c7c96dc5e25966152637dc37aeb35479a8ce26152","61273","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\039__strict1_B__B09_thesis_mogao418_medallion_row.png"
"B1-033","B1_033__041__strict2_A__A02_d625113_p16_i03_507x63.png","screened_existing_20260715","041__strict2_A__A02_d625113_p16_i03_507x63.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A02_d625113_p16_i03_507x63.png","","source rights require review","","88d0c9925e809d2fa3f0ab2c0089953acec9acdcda0237e90326e77c55e9d7f1","7832","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\041__strict2_A__A02_d625113_p16_i03_507x63.png"
"B1-034","B1_034__042__strict2_A__A03_d625113_p22_i01_304x115.png","screened_existing_20260715","042__strict2_A__A03_d625113_p22_i01_304x115.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A03_d625113_p22_i01_304x115.png","","source rights require review","","51c1f4063b6b5636eaf4b3e5b0221abc09e5013a89fbc520b054436bb2b5639a","29960","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png"
"B1-035","B1_035__045__strict2_A__A06_d625113_p32_i00_397x121.png","screened_existing_20260715","045__strict2_A__A06_d625113_p32_i00_397x121.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A06_d625113_p32_i00_397x121.png","","source rights require review","","7992aef356ea5ce35abf601c174298bfb2bd0c0128721b8dbfd4e36c86e9855c","4836","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\045__strict2_A__A06_d625113_p32_i00_397x121.png"
"B1-036","B1_036__046__strict2_A__A07_d625113_p32_i01_397x109.png","screened_existing_20260715","046__strict2_A__A07_d625113_p32_i01_397x109.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A07_d625113_p32_i01_397x109.png","","source rights require review","","524cb045a0fa3fe856c0b0e3ccdb364c878c89c50daebd38267ad1f9680fa891","40603","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\046__strict2_A__A07_d625113_p32_i01_397x109.png"
"B1-037","B1_037__047__strict2_A__A09_d625113_p40_i02_397x104.png","screened_existing_20260715","047__strict2_A__A09_d625113_p40_i02_397x104.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A09_d625113_p40_i02_397x104.png","","source rights require review","","4f38924d9c476ae95842f8e1aff3384c53715a869a5ece4eda54a182f4a4c1cb","40906","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png"
"B1-038","B1_038__048__strict2_A__A10_d625113_p42_i00_385x118.png","screened_existing_20260715","048__strict2_A__A10_d625113_p42_i00_385x118.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A10_d625113_p42_i00_385x118.png","","source rights require review","","f57b53817f00c9254ea9351e01964a29601908274354edcd790e08980501f741","18531","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\048__strict2_A__A10_d625113_p42_i00_385x118.png"
"B1-039","B1_039__052__strict2_A__A15_d625113_p58_i05_397x114.png","screened_existing_20260715","052__strict2_A__A15_d625113_p58_i05_397x114.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A15_d625113_p58_i05_397x114.png","","source rights require review","","51fc9c5189c1056759eaf04cc38eb4957a68035e6b1c59d025e3b37755eb44b5","26063","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\052__strict2_A__A15_d625113_p58_i05_397x114.png"
"B1-040","B1_040__054__strict2_A__A17_d625113_p59_i00_425x81.png","screened_existing_20260715","054__strict2_A__A17_d625113_p59_i00_425x81.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A17_d625113_p59_i00_425x81.png","","source rights require review","","26d40eb067362a80bbca3de8f2ca221c09b4354f7e77da6370c3c318f504afbf","33055","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\054__strict2_A__A17_d625113_p59_i00_425x81.png"
"B1-041","B1_041__055__strict2_A__A18_d625113_p59_i01_397x104.png","screened_existing_20260715","055__strict2_A__A18_d625113_p59_i01_397x104.png","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A18_d625113_p59_i01_397x104.png","","source rights require review","","3389fb8b7cd58b913aecf10506464895a77d539ffc3194adb33f8cdcdeee1600","36248","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png"
"B1-042","B1_042__056__strict2_A__A19_d625113_p70_i03_402x73.jpeg","screened_existing_20260715","056__strict2_A__A19_d625113_p70_i03_402x73.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A19_d625113_p70_i03_402x73.jpeg","","source rights require review","","8e2a5ae4a7cb1efe1ec7332537ae96f972079e046922ed31f63f667e642fe063","13219","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\056__strict2_A__A19_d625113_p70_i03_402x73.jpeg"
"B1-043","B1_043__057__strict2_A__A20_d01430115_p16_i02_284x111.jpeg","screened_existing_20260715","057__strict2_A__A20_d01430115_p16_i02_284x111.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A20_d01430115_p16_i02_284x111.jpeg","","source rights require review","","acf294d0afc27beedd1aab6663e993e03bb9304d5ed3761ce3140e8a21bac97a","12138","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\057__strict2_A__A20_d01430115_p16_i02_284x111.jpeg"
"B1-044","B1_044__058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","screened_existing_20260715","058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A21_d01430115_p65_i02_232x116.jpeg","","source rights require review","","5400d481018f82d2c759889f94249be124db6f223cbb170272a84128f2055b2c","10960","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\058__strict2_A__A21_d01430115_p65_i02_232x116.jpeg"
"B1-045","B1_045__062__strict2_A__A25_d01430115_p66_i05_270x98.jpeg","screened_existing_20260715","062__strict2_A__A25_d01430115_p66_i05_270x98.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A25_d01430115_p66_i05_270x98.jpeg","","source rights require review","","60f70f14d2dfe8d1c33910eccbb49e87c5bbb19a83332c2628ccf7dd9b89ab17","11045","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\062__strict2_A__A25_d01430115_p66_i05_270x98.jpeg"
"B1-046","B1_046__063__strict2_A__A26_d01430115_p66_i08_263x122.jpeg","screened_existing_20260715","063__strict2_A__A26_d01430115_p66_i08_263x122.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A26_d01430115_p66_i08_263x122.jpeg","","source rights require review","","70a954751a38fd843f08339890ab945a6210339d92f867aad66a9e7afa469536","11707","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\063__strict2_A__A26_d01430115_p66_i08_263x122.jpeg"
"B1-047","B1_047__064__strict2_A__A27_d01430115_p66_i10_248x92.jpeg","screened_existing_20260715","064__strict2_A__A27_d01430115_p66_i10_248x92.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A27_d01430115_p66_i10_248x92.jpeg","","source rights require review","","d32a199b4ddd3026600f16fc9415f68f9f5d7cba324e58ef38532f4e9ceec94d","9509","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\064__strict2_A__A27_d01430115_p66_i10_248x92.jpeg"
"B1-048","B1_048__065__strict2_A__A28_d01430115_p67_i01_252x97.jpeg","screened_existing_20260715","065__strict2_A__A28_d01430115_p67_i01_252x97.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A28_d01430115_p67_i01_252x97.jpeg","","source rights require review","","d2955cacd8be76678e76b224fd430cf0db208aa4d677006c2593c04693ffef2f","12293","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\065__strict2_A__A28_d01430115_p67_i01_252x97.jpeg"
"B1-049","B1_049__066__strict2_A__A29_d01430115_p67_i02_275x119.jpeg","screened_existing_20260715","066__strict2_A__A29_d01430115_p67_i02_275x119.jpeg","A","real_lineart","strict_2d_lineart_batch2_20260714","D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A29_d01430115_p67_i02_275x119.jpeg","","source rights require review","","558ce7f3955ee4afe5660c6ae243eea633e39a7ff8f70ddee3786ada08db801f","14189","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\066__strict2_A__A29_d01430115_p67_i02_275x119.jpeg"
