review_no,review_file,previous_tier,source_group,original_relative_path,original_full_path,expected_sha256,sample_origin,source_reference,screening_status,provenance_status,review_path,bytes,sha256,source_parent_id,notes
12,012__local_A__Snipaste_2026-04-18_15-55-38.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-55-38.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-38.png,8EE6F4CEABF882BDC92033B3FBCD1E4CCD4F63B4309F322D5319F7708379E6E7,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-55-38.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\012__local_A__Snipaste_2026-04-18_15-55-38.png,93225,8EE6F4CEABF882BDC92033B3FBCD1E4CCD4F63B4309F322D5319F7708379E6E7,,
13,013__local_A__Snipaste_2026-04-18_15-57-54.png,A,local_chanzhi_20260714,local_chanzhi_20260714/A_core/Snipaste_2026-04-18_15-57-54.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-57-54.png,E99E1F763F0C73B24A99BF6B5B5667A857C02DCB375E5B3DDCB5B517FD3D3A36,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\A_core\Snipaste_2026-04-18_15-57-54.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\013__local_A__Snipaste_2026-04-18_15-57-54.png,54903,E99E1F763F0C73B24A99BF6B5B5667A857C02DCB375E5B3DDCB5B517FD3D3A36,,
14,014__local_B__Snipaste_2026-04-13_15-34-57.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-13_15-34-57.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-13_15-34-57.png,171AFD9221B6A7EE7009C80404AF70ABD2E0898A2F34CD3C986079EB1F010FE3,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-13_15-34-57.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png,49847,171AFD9221B6A7EE7009C80404AF70ABD2E0898A2F34CD3C986079EB1F010FE3,,
15,015__local_B__Snipaste_2026-04-18_15-50-53.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-50-53.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-50-53.png,407DD3F3109FDD923597487C48D5D2878393BD0E2CCDE04311CC08760793FC10,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-50-53.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\015__local_B__Snipaste_2026-04-18_15-50-53.png,90067,407DD3F3109FDD923597487C48D5D2878393BD0E2CCDE04311CC08760793FC10,,
16,016__local_B__Snipaste_2026-04-18_15-51-12.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-51-12.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-51-12.png,4C2BAA6F353F2BA981733BE49A3DEEC90E0A83A66AFE290B5587056DCED40852,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-51-12.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png,79524,4C2BAA6F353F2BA981733BE49A3DEEC90E0A83A66AFE290B5587056DCED40852,,
17,017__local_B__Snipaste_2026-04-18_15-52-49.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-52-49.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-52-49.png,F7F6E701805B7BC260ADE9A517A9453D9AAB6D5070BCC1AF04124BC49B13B011,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-52-49.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\017__local_B__Snipaste_2026-04-18_15-52-49.png,64773,F7F6E701805B7BC260ADE9A517A9453D9AAB6D5070BCC1AF04124BC49B13B011,,
19,019__local_B__Snipaste_2026-04-18_15-55-54.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-55-54.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-55-54.png,1BD88E2614198D24DC7D97F1A364B42312C8C7FA41CDF64F609BC05279F5F625,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-55-54.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\019__local_B__Snipaste_2026-04-18_15-55-54.png,71006,1BD88E2614198D24DC7D97F1A364B42312C8C7FA41CDF64F609BC05279F5F625,,
20,020__local_B__Snipaste_2026-04-18_15-56-05.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-56-05.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-56-05.png,407AE2F9B918643E06E3B3CC813AA150AE25397D4D9E4A75E8B8549AE5F3C5B9,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-56-05.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\020__local_B__Snipaste_2026-04-18_15-56-05.png,72217,407AE2F9B918643E06E3B3CC813AA150AE25397D4D9E4A75E8B8549AE5F3C5B9,,
22,022__local_B__Snipaste_2026-04-18_15-57-40.png,B,local_chanzhi_20260714,local_chanzhi_20260714/B_auxiliary/Snipaste_2026-04-18_15-57-40.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-57-40.png,6DF0C92B82EC00AF74A01F03BCB04DCD5E2E0A4C7DA4BDCA3A5C8D45D3004026,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\local_chanzhi_20260714\B_auxiliary\Snipaste_2026-04-18_15-57-40.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\022__local_B__Snipaste_2026-04-18_15-57-40.png,87019,6DF0C92B82EC00AF74A01F03BCB04DCD5E2E0A4C7DA4BDCA3A5C8D45D3004026,,
24,024__strict1_A__A02_thesis_mogao211.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A02_thesis_mogao211.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A02_thesis_mogao211.png,A8CE24D2FC439F47AFDD6053C85D15D9DAA102F1789C78B5FEEEDA5235C33600,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A02_thesis_mogao211.png,kept_modified,known_source_modified_content,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\024__strict1_A__A02_thesis_mogao211.png,119291,E9204F2016458B6E9AFBE659DD477B7638DD7A54785DAF3026EBBCEA6667C389,,
25,025__strict1_A__A03_thesis_mogao392.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A03_thesis_mogao392.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A03_thesis_mogao392.png,26B8A1CF6D32291DCA9A16C9D39B28024010F54D23907B79E8C403B3E7CD2FF9,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A03_thesis_mogao392.png,kept_modified,known_source_modified_content,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\025__strict1_A__A03_thesis_mogao392.png,206745,8AD36DBEFBCD5840D7334B83E55F3B007E7C4772CA5E50E2A3E5AB3E84E603F8,,
26,026__strict1_A__A04_thesis_mogao225_row2.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A04_thesis_mogao225_row2.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A04_thesis_mogao225_row2.png,FAD74EA404F3B9306AED32E80D3F8CEBA42C028626D8F8AE89D4EF69440641CB,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A04_thesis_mogao225_row2.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\026__strict1_A__A04_thesis_mogao225_row2.png,217309,FAD74EA404F3B9306AED32E80D3F8CEBA42C028626D8F8AE89D4EF69440641CB,,
28,028__strict1_A__A06_thesis_mogao418_row2.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A06_thesis_mogao418_row2.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A06_thesis_mogao418_row2.png,AEF133AB4F2AD0F153A5BD7C5B3BD3517D682F4325664EF6B1FFC66268821EA1,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A06_thesis_mogao418_row2.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\028__strict1_A__A06_thesis_mogao418_row2.png,60927,AEF133AB4F2AD0F153A5BD7C5B3BD3517D682F4325664EF6B1FFC66268821EA1,,
29,029__strict1_A__A07_thesis_mogao418_row3.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A07_thesis_mogao418_row3.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A07_thesis_mogao418_row3.png,0013B37042EC885F692B022735078D5B22183CEF2603B063A5B5D052CE62079B,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A07_thesis_mogao418_row3.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\029__strict1_A__A07_thesis_mogao418_row3.png,57131,0013B37042EC885F692B022735078D5B22183CEF2603B063A5B5D052CE62079B,,
30,030__strict1_A__A08_journal_mogao180.png,A,strict_2d_lineart_20260714,strict_2d_lineart_20260714/A_core/A08_journal_mogao180.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A08_journal_mogao180.png,EC310ACE042EDEABF3B5821DC9C71428C043F5FF05111B1454C44E3B4ABE5A0F,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\A_core\A08_journal_mogao180.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\030__strict1_A__A08_journal_mogao180.png,150139,EC310ACE042EDEABF3B5821DC9C71428C043F5FF05111B1454C44E3B4ABE5A0F,,
31,031__strict1_B__B01_journal_mogao154.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B01_journal_mogao154.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B01_journal_mogao154.png,E33B6902BF7CDC2978B654FADD22763C5FE7157B8D6442F4C736B9EA334ACFAB,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B01_journal_mogao154.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png,149896,E33B6902BF7CDC2978B654FADD22763C5FE7157B8D6442F4C736B9EA334ACFAB,,
32,032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B02_zsbeike_mogao196_dense_scroll.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B02_zsbeike_mogao196_dense_scroll.png,B7DE0AF6AB1E998F595F2FD658F23D7B764AA7A920D849F9DA020BAB0D05C813,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B02_zsbeike_mogao196_dense_scroll.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png,671871,B7DE0AF6AB1E998F595F2FD658F23D7B764AA7A920D849F9DA020BAB0D05C813,,
33,033__strict1_B__B03_traditional_art_mogao310_flower_vine.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B03_traditional_art_mogao310_flower_vine.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B03_traditional_art_mogao310_flower_vine.png,7AA7DB13637092F1F9728CC63B55B079ADEFA0EB822B32B4C3F83222DAB7CC3A,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B03_traditional_art_mogao310_flower_vine.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\033__strict1_B__B03_traditional_art_mogao310_flower_vine.png,401274,7AA7DB13637092F1F9728CC63B55B079ADEFA0EB822B32B4C3F83222DAB7CC3A,,
35,035__strict1_B__B05_thesis_mogao217.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B05_thesis_mogao217.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B05_thesis_mogao217.png,0FB9F1CB8DC22444FD99D24A8D4ADEA38277C927F6AB75278A6081F81131C8C8,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B05_thesis_mogao217.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\035__strict1_B__B05_thesis_mogao217.png,204118,0FB9F1CB8DC22444FD99D24A8D4ADEA38277C927F6AB75278A6081F81131C8C8,,
36,036__strict1_B__B06_thesis_mogao146.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B06_thesis_mogao146.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B06_thesis_mogao146.png,2A027FA740295BFCF59D0454DD54B74B6770AC2574E4FADB2EB1CD8912AC0087,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B06_thesis_mogao146.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\036__strict1_B__B06_thesis_mogao146.png,136906,2A027FA740295BFCF59D0454DD54B74B6770AC2574E4FADB2EB1CD8912AC0087,,
37,037__strict1_B__B07_sohu_simple_scroll.jpeg,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B07_sohu_simple_scroll.jpeg,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B07_sohu_simple_scroll.jpeg,256A3B329735969340D458F2A6CA1D5AA643BB7667C03B93ED9E881C7AE96526,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B07_sohu_simple_scroll.jpeg,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\037__strict1_B__B07_sohu_simple_scroll.jpeg,57629,256A3B329735969340D458F2A6CA1D5AA643BB7667C03B93ED9E881C7AE96526,,
39,039__strict1_B__B09_thesis_mogao418_medallion_row.png,B,strict_2d_lineart_20260714,strict_2d_lineart_20260714/B_auxiliary/B09_thesis_mogao418_medallion_row.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B09_thesis_mogao418_medallion_row.png,70AD787FA17ACF4BB8124D1C7C96DC5E25966152637DC37AEB35479A8CE26152,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_20260714\B_auxiliary\B09_thesis_mogao418_medallion_row.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\039__strict1_B__B09_thesis_mogao418_medallion_row.png,61273,70AD787FA17ACF4BB8124D1C7C96DC5E25966152637DC37AEB35479A8CE26152,,
41,041__strict2_A__A02_d625113_p16_i03_507x63.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A02_d625113_p16_i03_507x63.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A02_d625113_p16_i03_507x63.png,88D0C9925E809D2FA3F0AB2C0089953ACEC9ACDCDA0237E90326E77C55E9D7F1,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A02_d625113_p16_i03_507x63.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\041__strict2_A__A02_d625113_p16_i03_507x63.png,7832,88D0C9925E809D2FA3F0AB2C0089953ACEC9ACDCDA0237E90326E77C55E9D7F1,,
42,042__strict2_A__A03_d625113_p22_i01_304x115.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A03_d625113_p22_i01_304x115.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A03_d625113_p22_i01_304x115.png,51C1F4063B6B5636EAF4B3E5B0221ABC09E5013A89FBC520B054436BB2B5639A,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A03_d625113_p22_i01_304x115.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png,29960,51C1F4063B6B5636EAF4B3E5B0221ABC09E5013A89FBC520B054436BB2B5639A,,
45,045__strict2_A__A06_d625113_p32_i00_397x121.png,A,strict_2d_lineart_batch2_20260714,strict_2d_lineart_batch2_20260714/A_core/A06_d625113_p32_i00_397x121.png,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A06_d625113_p32_i00_397x121.png,7992AEF356EA5CE35ABF601C174298BFB2BD0C0128721B8DBFD4E36C86E9855C,real_lineart,D:\sdxl\chanzhi_sw_clean\data\source_candidates\strict_2d_lineart_batch2_20260714\A_core\A06_d625113_p32_i00_397x121.png,kept_original,known,D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\045__strict2_A__A06_d625113_p32_i00_397x121.png,4836,7992AEF356EA5CE35ABF601C174298BFB2BD0C0128721B8DBFD4E36C86E9855C,,
