participant_id,presentation_sequence,blind_stimulus_id,order_form,stimulus_file,panel_label,structural_coherence_1_5,visual_balance_1_5,vine_scroll_structural_plausibility_1_5
P01,12,S322620,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F1.png,C,,,
P01,13,S300932,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F1.png,A,,,
P01,13,S300932,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F1.png,B,,,
P01,13,S300932,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F1.png,C,,,
P01,14,S841610,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F1.png,A,,,
P01,14,S841610,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F1.png,B,,,
P01,14,S841610,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F1.png,C,,,
P01,15,S213539,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F1.png,A,,,
P01,15,S213539,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F1.png,B,,,
P01,15,S213539,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F1.png,C,,,
P02,1,S925514,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F2.png,A,,,
P02,1,S925514,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F2.png,B,,,
P02,1,S925514,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F2.png,C,,,
P02,2,S237615,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F2.png,A,,,
P02,2,S237615,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F2.png,B,,,
P02,2,S237615,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F2.png,C,,,
P02,3,S804770,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F2.png,A,,,
P02,3,S804770,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F2.png,B,,,
P02,3,S804770,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F2.png,C,,,
P02,4,S244659,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F2.png,A,,,
P02,4,S244659,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F2.png,B,,,
P02,4,S244659,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F2.png,C,,,
P02,5,S213539,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F2.png,A,,,
P02,5,S213539,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F2.png,B,,,
P02,5,S213539,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F2.png,C,,,
P02,6,S120929,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F2.png,A,,,
P02,6,S120929,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F2.png,B,,,
P02,6,S120929,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F2.png,C,,,
P02,7,S300932,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F2.png,A,,,
P02,7,S300932,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F2.png,B,,,
P02,7,S300932,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F2.png,C,,,
P02,8,S286860,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F2.png,A,,,
P02,8,S286860,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F2.png,B,,,
P02,8,S286860,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F2.png,C,,,
P02,9,S513164,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F2.png,A,,,
P02,9,S513164,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F2.png,B,,,
P02,9,S513164,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F2.png,C,,,
P02,10,S322620,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F2.png,A,,,
P02,10,S322620,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F2.png,B,,,
P02,10,S322620,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F2.png,C,,,
P02,11,S841610,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F2.png,A,,,
P02,11,S841610,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F2.png,B,,,
P02,11,S841610,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F2.png,C,,,
P02,12,S100142,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F2.png,A,,,
P02,12,S100142,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F2.png,B,,,
P02,12,S100142,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S100142_F2.png,C,,,
P02,13,S724485,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S724485_F2.png,A,,,
P02,13,S724485,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S724485_F2.png,B,,,
P02,13,S724485,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S724485_F2.png,C,,,
P02,14,S255676,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F2.png,A,,,
P02,14,S255676,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F2.png,B,,,
P02,14,S255676,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F2.png,C,,,
P02,15,S513715,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F2.png,A,,,
P02,15,S513715,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F2.png,B,,,
P02,15,S513715,F2,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F2.png,C,,,
P03,1,S513164,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F3.png,A,,,
P03,1,S513164,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F3.png,B,,,
P03,1,S513164,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F3.png,C,,,
P03,2,S724485,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S724485_F3.png,A,,,
P03,2,S724485,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S724485_F3.png,B,,,
P03,2,S724485,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S724485_F3.png,C,,,
P03,3,S120929,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F3.png,A,,,
P03,3,S120929,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F3.png,B,,,
P03,3,S120929,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F3.png,C,,,
P03,4,S286860,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F3.png,A,,,
P03,4,S286860,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F3.png,B,,,
P03,4,S286860,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F3.png,C,,,
P03,5,S804770,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F3.png,A,,,
P03,5,S804770,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F3.png,B,,,
P03,5,S804770,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F3.png,C,,,
P03,6,S237615,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F3.png,A,,,
P03,6,S237615,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F3.png,B,,,
P03,6,S237615,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S237615_F3.png,C,,,
P03,7,S213539,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F3.png,A,,,
P03,7,S213539,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F3.png,B,,,
P03,7,S213539,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S213539_F3.png,C,,,
P03,8,S322620,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F3.png,A,,,
P03,8,S322620,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F3.png,B,,,
P03,8,S322620,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F3.png,C,,,
P03,9,S594442,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S594442_F3.png,A,,,
P03,9,S594442,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S594442_F3.png,B,,,
P03,9,S594442,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S594442_F3.png,C,,,
P03,10,S513715,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F3.png,A,,,
P03,10,S513715,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F3.png,B,,,
P03,10,S513715,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F3.png,C,,,
P03,11,S841610,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F3.png,A,,,
P03,11,S841610,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F3.png,B,,,
P03,11,S841610,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F3.png,C,,,
P03,12,S244659,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F3.png,A,,,
P03,12,S244659,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F3.png,B,,,
P03,12,S244659,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F3.png,C,,,
P03,13,S300932,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F3.png,A,,,
P03,13,S300932,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F3.png,B,,,
P03,13,S300932,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S300932_F3.png,C,,,
P03,14,S255676,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F3.png,A,,,
P03,14,S255676,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F3.png,B,,,
P03,14,S255676,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F3.png,C,,,
P03,15,S925514,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F3.png,A,,,
P03,15,S925514,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F3.png,B,,,
P03,15,S925514,F3,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F3.png,C,,,
P04,1,S286860,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F1.png,A,,,
P04,1,S286860,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F1.png,B,,,
P04,1,S286860,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S286860_F1.png,C,,,
P04,2,S594442,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S594442_F1.png,A,,,
P04,2,S594442,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S594442_F1.png,B,,,
P04,2,S594442,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S594442_F1.png,C,,,
P04,3,S513164,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F1.png,A,,,
P04,3,S513164,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F1.png,B,,,
P04,3,S513164,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513164_F1.png,C,,,
P04,4,S513715,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F1.png,A,,,
P04,4,S513715,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F1.png,B,,,
P04,4,S513715,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S513715_F1.png,C,,,
P04,5,S402260,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S402260_F1.png,A,,,
P04,5,S402260,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S402260_F1.png,B,,,
P04,5,S402260,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S402260_F1.png,C,,,
P04,6,S804770,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F1.png,A,,,
P04,6,S804770,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F1.png,B,,,
P04,6,S804770,F1,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S804770_F1.png,C,,,
