blind_stimulus_id,order_form,panel_label,method,case_id,prototype_id,backbone_variant,density_level,replicate,production_seed,stimulus_file,source_png
S322620,F2,A,FixedSlot,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\FixedSlot\formal_triple.png
S322620,F2,B,LocalGreedy,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\LocalGreedy\formal_triple.png
S322620,F2,C,Ours,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\Ours\formal_triple.png
S322620,F3,A,LocalGreedy,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\LocalGreedy\formal_triple.png
S322620,F3,B,Ours,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\Ours\formal_triple.png
S322620,F3,C,FixedSlot,C084,proto_sw_3_2,compact,rich,2,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S322620_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C084\methods\FixedSlot\formal_triple.png
S925514,F1,A,FixedSlot,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\FixedSlot\formal_triple.png
S925514,F1,B,Ours,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\Ours\formal_triple.png
S925514,F1,C,LocalGreedy,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\LocalGreedy\formal_triple.png
S925514,F2,A,Ours,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\Ours\formal_triple.png
S925514,F2,B,LocalGreedy,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\LocalGreedy\formal_triple.png
S925514,F2,C,FixedSlot,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\FixedSlot\formal_triple.png
S925514,F3,A,LocalGreedy,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\LocalGreedy\formal_triple.png
S925514,F3,B,FixedSlot,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\FixedSlot\formal_triple.png
S925514,F3,C,Ours,C005,proto_sw_1_1,expanded,rich,1,100018,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S925514_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C005\methods\Ours\formal_triple.png
S244659,F1,A,FixedSlot,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\FixedSlot\formal_triple.png
S244659,F1,B,Ours,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\Ours\formal_triple.png
S244659,F1,C,LocalGreedy,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\LocalGreedy\formal_triple.png
S244659,F2,A,Ours,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\Ours\formal_triple.png
S244659,F2,B,LocalGreedy,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\LocalGreedy\formal_triple.png
S244659,F2,C,FixedSlot,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\FixedSlot\formal_triple.png
S244659,F3,A,LocalGreedy,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\LocalGreedy\formal_triple.png
S244659,F3,B,FixedSlot,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\FixedSlot\formal_triple.png
S244659,F3,C,Ours,C053,proto_sw_2_3,swept,rich,1,100007,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S244659_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C053\methods\Ours\formal_triple.png
S120929,F1,A,Ours,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\Ours\formal_triple.png
S120929,F1,B,FixedSlot,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\FixedSlot\formal_triple.png
S120929,F1,C,LocalGreedy,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\LocalGreedy\formal_triple.png
S120929,F2,A,FixedSlot,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\FixedSlot\formal_triple.png
S120929,F2,B,LocalGreedy,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\LocalGreedy\formal_triple.png
S120929,F2,C,Ours,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\Ours\formal_triple.png
S120929,F3,A,LocalGreedy,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\LocalGreedy\formal_triple.png
S120929,F3,B,Ours,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\Ours\formal_triple.png
S120929,F3,C,FixedSlot,C023,proto_sw_1_3,expanded,rich,1,100030,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S120929_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C023\methods\FixedSlot\formal_triple.png
S255676,F1,A,LocalGreedy,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\LocalGreedy\formal_triple.png
S255676,F1,B,Ours,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\Ours\formal_triple.png
S255676,F1,C,FixedSlot,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\FixedSlot\formal_triple.png
S255676,F2,A,Ours,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\Ours\formal_triple.png
S255676,F2,B,FixedSlot,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\FixedSlot\formal_triple.png
S255676,F2,C,LocalGreedy,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\LocalGreedy\formal_triple.png
S255676,F3,A,FixedSlot,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\FixedSlot\formal_triple.png
S255676,F3,B,LocalGreedy,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\LocalGreedy\formal_triple.png
S255676,F3,C,Ours,C043,proto_sw_2_3,compact,simple,1,100005,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S255676_F3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C043\methods\Ours\formal_triple.png
S841610,F1,A,LocalGreedy,C006,proto_sw_1_1,expanded,rich,2,100019,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C006\methods\LocalGreedy\formal_triple.png
S841610,F1,B,FixedSlot,C006,proto_sw_1_1,expanded,rich,2,100019,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C006\methods\FixedSlot\formal_triple.png
S841610,F1,C,Ours,C006,proto_sw_1_1,expanded,rich,2,100019,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C006\methods\Ours\formal_triple.png
S841610,F2,A,FixedSlot,C006,proto_sw_1_1,expanded,rich,2,100019,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C006\methods\FixedSlot\formal_triple.png
S841610,F2,B,Ours,C006,proto_sw_1_1,expanded,rich,2,100019,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C006\methods\Ours\formal_triple.png
S841610,F2,C,LocalGreedy,C006,proto_sw_1_1,expanded,rich,2,100019,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq4\human_evaluation\human_stimuli\S841610_F2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq2\matrix_c_four_methods\raw_cases\C006\methods\LocalGreedy\formal_triple.png
