id,file,source_key,source_page,direct_url,original_file,crop_box,crop_label,source_size,crop_size,visual_grade,structure_note,recommendation,rights_note,sha256
CN11,cn11_baidu_narrow_leafy_stem.png,baidu_scroll_studies,https://wapbaike.baidu.com/tashuo/browse/content?id=0973544b7b269d26d67cdc38,https://bkimg.cdn.bcebos.com/pic/30adcbef76094b36acaf8cbd19816bd98d1001e93707,baidu_tashuo_scroll_studies.jpg,"120,920,1125,995",third narrow line-drawing row below photo,1242x1800,1005x75,A,Single narrow leafy continuous stem,core; simple branch-order baseline,Baidu TA说 / author 庭兰瓷语; attribution requested for reprints; no open licence found,ee1655285b6c07aaec7a987aa7d1d6d74bbbaac1dde30dc49e759249887a3874
CN12,cn12_nipic_honeysuckle_sweep.png,nipic_honeysuckle,https://www.nipic.com/show/48796371.html,https://pic.nximg.cn/file/20241113/31514895_130936406104_2.jpg,nipic_honeysuckle_sheet.jpg,"0,435,896,625",row 3,896x1024,896x190,A,Sweeping triple-line S-stem with attached leaf lobes,core; clear main-trunk continuity,NiPic / uploader lsszyl; learning and exchange only unless separately authorised,01b6c98655cfb95b163c0f1170bd488113c719fa2471a93582a78880953e9920
CN13,cn13_nipic_honeysuckle_spiral.png,nipic_honeysuckle,https://www.nipic.com/show/48796371.html,https://pic.nximg.cn/file/20241113/31514895_130936406104_2.jpg,nipic_honeysuckle_sheet.jpg,"0,650,896,835",row 4,896x1024,896x185,A,Repeated spiral-leaf waves on one stem,core; good repeated branch units,NiPic / uploader lsszyl; learning and exchange only unless separately authorised,307c74924361b43f467530cf29dd3a0b7d1ce7450ade0b52b81f76aaaae37322
CN14,cn14_zs321_dense_flower_scroll.png,zs_321,https://www.zsbeike.com/tp/7588183.html,https://imgs.zsbeike.com/imgs/P/P05009/P05009_tm.txt.d2d42a.jpg,zsbeike_mogao321_three_scrolls.jpg,"0,100,2550,700",top row,2712x2070,2550x600,A,Dense flowers/leaves tied by large vine arcs,core after annotation pilot; complex occlusion,Creator-uploaded on 知识贝壳; page says copyright belongs to creator; no open licence found,f99604a6dc2364c601b40e314c964e52b5c2277b1fbc290f1c5634c493446a27
CN15,cn15_zs321_open_flower_scroll.png,zs_321,https://www.zsbeike.com/tp/7588183.html,https://imgs.zsbeike.com/imgs/P/P05009/P05009_tm.txt.d2d42a.jpg,zsbeike_mogao321_three_scrolls.jpg,"0,880,2550,1340",middle row,2712x2070,2550x460,A,Open flower scroll with readable parent arcs,core; high-quality historical line drawing,Creator-uploaded on 知识贝壳; page says copyright belongs to creator; no open licence found,44b39cfcaccfec98a276566d88106cbc320a38c51ab3ac3c4aaeb771d230ac9f
CN16,cn16_zs321_round_flower_scroll.png,zs_321,https://www.zsbeike.com/tp/7588183.html,https://imgs.zsbeike.com/imgs/P/P05009/P05009_tm.txt.d2d42a.jpg,zsbeike_mogao321_three_scrolls.jpg,"0,1560,2550,2040",bottom row,2712x2070,2550x480,B,Rounded flower masses linked by recurring scroll stems,auxiliary; denser local ambiguity,Creator-uploaded on 知识贝壳; page says copyright belongs to creator; no open licence found,b134e7c480ac16d13c9926c4e63d650633580172ef3e4338d9a20e791a418d0b
CN17,cn17_tang_ceramic_scroll.png,zs_tang_ceramic,https://www.zsbeike.com/tp/6300796.html,https://imgs.zsbeike.com/imgs/C/C08131/c08131.0080.fdce02.jpg,zsbeike_tang_ceramic_scroll.jpg,"0,0,1859,572",whole strip,1859x572,1859x572,A,Tang ceramic flower scroll with alternating major leaf fans,core; clean full-width historical strip,Creator-uploaded on 知识贝壳; page says copyright belongs to creator; no open licence found,ffeae2429be627c1bbab5334f869aa172de01c7ccbeddc1dcebb59c1b2739872
CN18,cn18_zs217_fruit_flower_scroll.png,zs_217,https://www.zsbeike.com/tp/7588200.html,https://imgs.zsbeike.com/imgs/P/P05009/P05009_tm.txt.d2d504.jpg,zsbeike_mogao217_border.jpg,"0,210,2600,930",upper botanical row; exclude bead band,2688x2166,2600x720,A,Fruit and flowers on a long undulating parent stem,core; strong branching and terminal placement,Creator-uploaded on 知识贝壳; page says copyright belongs to creator; no open licence found,d295af1c7041a914c8c843e458397b8b5ba70e4dd2f81ec69ed58167538f605a
CN19,cn19_zs225_bottom_botanical_scroll.png,zs_225,https://www.zsbeike.com/tp/7588251.html,https://imgs.zsbeike.com/imgs/P/P05009/P05009_tm.txt.d2d6c3.jpg,zsbeike_mogao225_scroll.jpg,"0,1110,2520,1980",bottom row; exclude winged figure,2664x2019,2520x870,A,Dense botanical scroll with large enclosing stem loop,core but advanced; annotate after simpler rows,Creator-uploaded on 知识贝壳; page says copyright belongs to creator; no open licence found,cd74a45558ac91516f30f798c036abd883973485f154de665af64dd29d9254dd
CN20,cn20_zs196_continuous_scroll.png,zs_196,https://www.zsbeike.com/tp/7588265.html,https://imgs.zsbeike.com/imgs/P/P05009/P05009_tm.txt.d2d757.jpg,zsbeike_mogao196_scroll.jpg,"0,0,2456,558",whole strip,2456x558,2456x558,A,Continuous fine scroll with small terminal flower,core; excellent long-range trunk supervision,Creator-uploaded on 知识贝壳; page says copyright belongs to creator; no open licence found,d1eff3dbbfa89b924f4996a8cdbd63a61281930196f208388f20456b71e703c4
