"source","destination","width","height","aspect","saturation","white_fraction","dark_fraction","sha256","status","reason","near_match"
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_19_sheet05_row02.png","candidate_019__sina_19_sheet05_row02.png","669","99","6.7576","0.0","0.8041","0.0733","f8f5a24b2a6cadedbaa0b0b0e99770fc6936936dc066def6f83ba73a5c455398","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_20_sheet05_row03.png","candidate_020__sina_20_sheet05_row03.png","669","104","6.4327","0.0","0.7508","0.0972","d10e8097e37ad47f1729eb24d0c0da6e9b681a855b77e209235b3ab0617eb9cf","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_21_sheet05_row04.png","candidate_021__sina_21_sheet05_row04.png","668","98","6.8163","0.0","0.8313","0.0671","4456d3cf77abf43d538b173495728cc08dd1bd357c050dd6a1bc9a59af89f7a4","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_22_sheet05_row05.png","candidate_022__sina_22_sheet05_row05.png","669","87","7.6897","0.0","0.7736","0.0956","17bb7f966ddd6fd94df8b6d16bc1734dda3f7ce2da9c4fd0a7740eabcb04e1cc","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_23_sheet06_row01.png","candidate_023__sina_23_sheet06_row01.png","676","121","5.5868","0.0","0.8307","0.0432","98ed6d641bf25dab52a0c8111d11a3ae3d134c127806950f949b3cfd9042e222","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_24_sheet06_row02.png","candidate_024__sina_24_sheet06_row02.png","676","146","4.6301","0.0","0.8059","0.0545","fcf529644287db6acc842f59610f2b38ea90a29e1f53ebe0ad0aea7357ce0ca9","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_25_sheet06_row03.png","candidate_025__sina_25_sheet06_row03.png","676","135","5.0074","0.0","0.7961","0.059","39bf3410473069f8129859ac691c42b55724d094cc146fac3afd2b4a21d37588","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_26_sheet06_row04.png","candidate_026__sina_26_sheet06_row04.png","676","119","5.6807","0.0","0.777","0.067","5cce770dc5a56d0acd5be3fe20366a5550f3e4085f05c99ce1e3460f0b432aef","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_27_sheet06_row05.png","candidate_027__sina_27_sheet06_row05.png","676","156","4.3333","0.0","0.7508","0.0649","b5e58dbc365e98371e420061fa5ad191df72e1c0421f53bcdb8022fa2f125ec6","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_28_sheet07_row01.png","candidate_028__sina_28_sheet07_row01.png","676","125","5.408","0.0","0.7979","0.06","b20236c64cc5ac8bdefaa833fa77a8ecd5f7175592fdbbed77ef58545a1c1b69","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_29_sheet07_row02.png","candidate_029__sina_29_sheet07_row02.png","675","126","5.3571","0.0","0.8039","0.0582","d07e083c728b1b80547cd9082a14ad9be8387351804b22d720432b6f50bf1b23","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_30_sheet07_row03.png","candidate_030__sina_30_sheet07_row03.png","676","112","6.0357","0.0","0.8012","0.0604","9eeb7b3bf4cb4d681851952f846ebae85617d593080dcfce054248d5eddddeb6","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_31_sheet07_row04.png","candidate_031__sina_31_sheet07_row04.png","676","109","6.2018","0.0","0.7427","0.0762","aa1bd09c1c978790c1768db107b358ccb3677617b34e2f1567119613ce99c825","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_32_sheet07_row05.png","candidate_032__sina_32_sheet07_row05.png","676","108","6.2593","0.0","0.7357","0.0818","78f21b8a0a0daa1d79b543bfcc3844b0fe70e6a8dd353e029ab0ec0aa9becfc7","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_33_sheet08_row01.png","candidate_033__sina_33_sheet08_row01.png","654","109","6.0","0.0","0.748","0.0936","885a6044c4b33d624ea58516010e5a7f98f4dae290c60156840713c347c7daf1","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_34_sheet08_row02.png","candidate_034__sina_34_sheet08_row02.png","655","116","5.6466","0.0","0.7107","0.1157","c55b83753bf0bf48b692dc1067a73a659bd740b2c3a29f65d8e50704546793b2","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_35_sheet08_row03.png","candidate_035__sina_35_sheet08_row03.png","656","115","5.7043","0.0","0.7526","0.0971","f16777b5dfeb35ee958ae446bd5da275c9056e2ee1a108a577950cb54c18917e","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_36_sheet08_row04.png","candidate_036__sina_36_sheet08_row04.png","654","101","6.4752","0.0","0.8114","0.0785","a28f10e8c5e2d9d506e6ea84f70bbafc1bf4290c85a8f6b51392e7407936dd3b","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_37_sheet08_row05.png","candidate_037__sina_37_sheet08_row05.png","660","156","4.2308","0.0","0.8436","0.0671","67f8cd25da2775515bfc5f8a005a49821b2410cf80c762c27a0272c951f9e9c8","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_38_sheet09_row01.png","candidate_038__sina_38_sheet09_row01.png","656","136","4.8235","0.0","0.7482","0.104","aee10ce0522eecd9512583b8e5604dc36d8930d7061f327c9461ee1cd9a185e9","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_39_sheet09_row02.png","candidate_039__sina_39_sheet09_row02.png","657","155","4.2387","0.0","0.7726","0.0882","b7c02b27c380202ed96c049732011c86d3e605b3f9a2e8ecf06feacb05247f2a","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_40_sheet09_row03.png","candidate_040__sina_40_sheet09_row03.png","657","167","3.9341","0.0","0.7664","0.086","a6a84ed0db22df90cb5ecbba475e05066f899dd2e653eadfcc6aef069d4dfd77","kept_for_visual_review","",""
"data\source_candidates\web_independent_batch4_20260715\sina_rows\sina_41_sheet09_row04.png","candidate_041__sina_41_sheet09_row04.png","656","167","3.9281","0.0","0.7318","0.0982","dede7e3382a9cd826b4fa8ff7f20e80508df70cbe66a14fac576a9c4f1eb6ed2","kept_for_visual_review","",""
