"source_id","source_title","source_file","output_file","tier","decision","independent_source_count","crop_pixels","rotation_degrees_ccw","source_page","direct_image_url","rights","reason"
"OC10","Fabrique de St. Ruf Horizontal Border","OC10_core.jpg","AUX_OC10_white_foliage_border.jpg","auxiliary","kept","1","82,90,4014,2158","0","https://collection.cooperhewitt.org/view/objects/asitem/id/25008","https://images.collection.cooperhewitt.org/127237_e16b132c44f24fbb_x.jpg","CC0","flat two-colour foliage border; useful only after line-art reconstruction"
"OC11","Acanthus Rinceau with Floral Band","OC11_core.jpg","AUX_OC11_blue_acanthus_top_repeat.jpg","auxiliary","kept","1","0,82,4096,1393","0","https://collection.cooperhewitt.org/view/objects/asitem/id/160894","https://images.collection.cooperhewitt.org/96005_a2c645a4e23628f7_x.jpg","CC0","top copy of a duplicated colour repeat; bottom duplicate removed"
"OC12","Acanthus Rinceau with Rose Motif","OC12_core.jpg","AUX_OC12_rose_scroll.jpg","auxiliary","kept","1","0,83,4096,1962","0","https://collection.cooperhewitt.org/view/objects/asitem/id/160590","https://images.collection.cooperhewitt.org/136611_708c474c0fd1bdf5_x.jpg","CC0","low-contrast colour floral scroll; reconstruction reference only"
"OC13","Acanthus Rinceau with Flowers","OC13_core.jpg","AUX_OC13_green_acanthus_flowers.jpg","auxiliary","kept","1","41,96,4055,1817","0","https://collection.cooperhewitt.org/view/objects/asitem/id/149106","https://images.collection.cooperhewitt.org/44375_9f119b4997ed5776_x.jpg","CC0","flat colour plant scroll with clear main curls and flower attachments"
"OC14","Linked Floral and Foliate Scrolls","OC14_core.jpg","AUX_OC14_pink_floral_top_repeat.jpg","auxiliary","kept","1","0,100,4096,1271","0","https://collection.cooperhewitt.org/view/objects/asitem/id/161117","https://images.collection.cooperhewitt.org/109536_29971d6215869ff2_x.jpg","CC0","top copy of a duplicated colour floral scroll; bottom duplicate removed"
"OC15","Two Layers of Waving Floral Scrolls","OC15_core.jpg","AUX_OC15_blue_floral_top_repeat.jpg","auxiliary","kept","1","41,89,4054,1134","0","https://collection.cooperhewitt.org/view/objects/asitem/id/161146","https://images.collection.cooperhewitt.org/258328_9f5d993757436df0_x.jpg","CC0","top copy of a duplicated blue floral scroll; bottom duplicate removed"
"OC16","Metallic Gold and Blue Foliate Rinceau","OC16_auxiliary.jpg","AUX_OC16_pale_floral_top_repeat.jpg","auxiliary","kept","1","0,95,4096,1241","0","https://collection.cooperhewitt.org/view/objects/asitem/id/161106","https://images.collection.cooperhewitt.org/109724_272a453e7826e267_x.jpg","CC0","top copy of a duplicated low-contrast floral band; reconstruction reference only"
"OC17","Large Rinceau with Green Bouquets","OC17_auxiliary.jpg","AUX_OC17_large_bouquet_rinceau.jpg","auxiliary","kept","1","0,67,4096,2084","0","https://collection.cooperhewitt.org/view/objects/asitem/id/160769","https://images.collection.cooperhewitt.org/95962_65e5cd0360865ee0_x.jpg","CC0","large flat colour rinceau with visible plant hierarchy but dense bouquet masses"
"OC18","Green Floral and Foliate Rinceau","OC18_auxiliary.jpg","AUX_OC18_green_flower_vine_top_repeat.jpg","auxiliary","kept","1","0,75,4096,1245","0","https://collection.cooperhewitt.org/view/objects/asitem/id/161113","https://images.collection.cooperhewitt.org/110228_63464ebe7d62a936_x.jpg","CC0","top copy of a duplicated green flower-vine repeat; bottom duplicate removed"
"OC19","Ochre Acanthus Rinceau on Red","OC19_auxiliary.jpg","AUX_OC19_ochre_acanthus.jpg","auxiliary","kept","1","82,49,4013,925","0","https://collection.cooperhewitt.org/view/objects/asitem/id/149108","https://images.collection.cooperhewitt.org/44000_bdd761d5eec0c0d3_x.jpg","CC0","flat colour acanthus scroll; strong silhouette but not line art"
"OC20","Stylized Flowers in Foliate Scrolls","OC20_auxiliary.jpg","AUX_OC20_stylized_flower_vine_top_repeat.jpg","auxiliary","kept","1","0,70,4096,1168","0","https://collection.cooperhewitt.org/view/objects/asitem/id/161112","https://images.collection.cooperhewitt.org/110068_c4a0447dcbe2d7c8_x.jpg","CC0","top copy of a duplicated stylized flower-vine repeat; low contrast"
"OC21","Blue Flowers and Grisaille Acanthus","OC21_auxiliary.jpg","AUX_OC21_blue_flower_acanthus.jpg","auxiliary","kept","1","60,20,2940,967","0","https://collection.cooperhewitt.org/view/objects/asitem/id/110212","https://images.collection.cooperhewitt.org/43243_cd050a658c2fdd12_x.jpg","CC0","flat colour flower-and-acanthus border with clear continuous support stem"
