review_file,tier,visual_status,visual_reason,source_file,source_page_number,source_page,rights,width,height,sha256
A11__candidate_151__D01448673_tang_ceiling_pattern_p232_i07_x2982_554x114.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_151__D01448673_tang_ceiling_pattern_p232_i07_x2982_554x114.png,232,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,554,114,97e84457fb0209d1750134bf500ec569ea1e635a8c324514042cda2a078e8690
A12__candidate_152__D01448673_tang_ceiling_pattern_p232_i09_x2984_367x53.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_152__D01448673_tang_ceiling_pattern_p232_i09_x2984_367x53.png,232,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,367,53,6982413453ae7e39eca28fea0b77b483702cf2cdaf0562ffe15180ef19717b77
A13__candidate_153__D01448673_tang_ceiling_pattern_p232_i10_x2985_266x52.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_153__D01448673_tang_ceiling_pattern_p232_i10_x2985_266x52.png,232,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,266,52,d7a46d6d82a664fc8974b88b3b0a2dca059e1d35a8425122bdcbc1c4ac283cd4
A14__candidate_159__D01448673_tang_ceiling_pattern_p234_i02_x3005_516x86.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_159__D01448673_tang_ceiling_pattern_p234_i02_x3005_516x86.png,234,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,516,86,c49656e7a4fad2cb9787440491931fd2d72fa88dffad6891b347f3dcb0f914d7
A15__candidate_160__D01448673_tang_ceiling_pattern_p234_i03_x3006_356x79.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_160__D01448673_tang_ceiling_pattern_p234_i03_x3006_356x79.png,234,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,356,79,7b6731cf0718bc05f30c37915a6c7fb1db0f0d9895bf1d13567f917fe2999605
A16__candidate_161__D01448673_tang_ceiling_pattern_p234_i04_x3007_420x200.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_161__D01448673_tang_ceiling_pattern_p234_i04_x3007_420x200.png,234,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,420,200,a5e8d8898ad63c300599efe382ca91c89f4e6ed9b40d9b2e5f1f5325668e7946
A17__candidate_162__D01448673_tang_ceiling_pattern_p236_i00_x3024_282x93.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_162__D01448673_tang_ceiling_pattern_p236_i00_x3024_282x93.png,236,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,282,93,743fe34dfe6047dc2732a1a9dc3030ab7e376409ec263110235e9e24bd2bc4d2
A18__candidate_163__D01448673_tang_ceiling_pattern_p236_i03_x3027_375x86.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_163__D01448673_tang_ceiling_pattern_p236_i03_x3027_375x86.png,236,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,375,86,a601b3fe70716648eb4eac0a7f3369aa6b14034fe29b0b1cd411ba2e98afa526
A19__candidate_172__D01448673_tang_ceiling_pattern_p238_i01_x3050_325x114.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_172__D01448673_tang_ceiling_pattern_p238_i01_x3050_325x114.png,238,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,325,114,40f75dd907aa0850f435361386cd5799394109345ce3fb97259eca417e9d9f03
A20__candidate_174__D01448673_tang_ceiling_pattern_p238_i06_x3055_250x75.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_174__D01448673_tang_ceiling_pattern_p238_i06_x3055_250x75.png,238,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,250,75,241ee6d60ec23f39a32da47651f2af2eee9b10ea62a080fccd6da8fa628f39bf
A21__candidate_175__D01448673_tang_ceiling_pattern_p238_i07_x3056_284x87.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_175__D01448673_tang_ceiling_pattern_p238_i07_x3056_284x87.png,238,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,284,87,a5d1dfdbbaf460f268645560146b393db5389aa7f75d0b6a631e51b762efecc5
A22__candidate_177__D01448673_tang_ceiling_pattern_p238_i10_x3059_390x129.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_177__D01448673_tang_ceiling_pattern_p238_i10_x3059_390x129.png,238,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,390,129,9c9c01c013a0920a79342438f8f79e62ab5e04140574f11d9e0ddbbe85c1d839
A23__candidate_182__D01448673_tang_ceiling_pattern_p242_i00_x3098_302x71.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_182__D01448673_tang_ceiling_pattern_p242_i00_x3098_302x71.png,242,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,302,71,ef389ee70e36e46be655e323727d9fddf32df4de8107c1584d968fb9afa0a927
A24__candidate_183__D01448673_tang_ceiling_pattern_p242_i01_x3099_328x89.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_183__D01448673_tang_ceiling_pattern_p242_i01_x3099_328x89.png,242,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,328,89,0b9183564f60455bd51fbf7cfc114f393c63947dd4ff46ce48273f2f7e2c764a
A25__candidate_184__D01448673_tang_ceiling_pattern_p242_i03_x3101_323x92.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_184__D01448673_tang_ceiling_pattern_p242_i03_x3101_323x92.png,242,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,323,92,28a0b47dfab0814ac315437d0a4201fa36510679a28cec5a8aba82ebe19b7b40
A26__candidate_190__D01448673_tang_ceiling_pattern_p244_i03_x3125_302x115.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_190__D01448673_tang_ceiling_pattern_p244_i03_x3125_302x115.png,244,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,302,115,beacbaa9f04dc1d86c3fc693e2fe88156390f6b5bec2263e9036cff0e1928940
A27__candidate_193__D01448673_tang_ceiling_pattern_p244_i07_x3129_321x116.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_193__D01448673_tang_ceiling_pattern_p244_i07_x3129_321x116.png,244,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,321,116,f29063b17ac0e76782f048cbedd09dbbcc50bdf7b4408d1901279920c1b9d84a
A28__candidate_194__D01448673_tang_ceiling_pattern_p245_i05_x3133_303x102.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_194__D01448673_tang_ceiling_pattern_p245_i05_x3133_303x102.png,245,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,303,102,004f3d33310b18f76b5fe4e9ca61f636d09c79c54698bc22e9a8534fded1c143
A29__candidate_197__D01448673_tang_ceiling_pattern_p246_i05_x3152_357x110.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_197__D01448673_tang_ceiling_pattern_p246_i05_x3152_357x110.png,246,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,357,110,db02f94973982b69d27d8c19e7c6e83b696fdc1ef6598c92e223963a4a3d5fca
A30__candidate_200__D01448673_tang_ceiling_pattern_p247_i05_x3164_428x116.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_200__D01448673_tang_ceiling_pattern_p247_i05_x3164_428x116.png,247,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,428,116,87609ef8d491eee7d976c21da4fd64db6a1b37a111a6324808b9e9983cef86f1
A31__candidate_201__D01448673_tang_ceiling_pattern_p247_i06_x3165_235x90.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_201__D01448673_tang_ceiling_pattern_p247_i06_x3165_235x90.png,247,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,235,90,1c52dd6b98a27179fadc637bd55f1059b533d6f52a35e0bfe0bab78c7d2afc3b
A32__candidate_207__D01448673_tang_ceiling_pattern_p250_i05_x3198_353x90.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_207__D01448673_tang_ceiling_pattern_p250_i05_x3198_353x90.png,250,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,353,90,584ff06d8f54617d3921c5ae68b21f054f0e65d6c66a66f80c3c09ee99d5c8b5
A33__candidate_210__D01448673_tang_ceiling_pattern_p252_i03_x3229_705x92.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_210__D01448673_tang_ceiling_pattern_p252_i03_x3229_705x92.png,252,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,705,92,62210f923e1bed056a5474e68c99bec57824230cf6675af246e35626633a7a84
A34__candidate_212__D01448673_tang_ceiling_pattern_p252_i05_x3231_356x106.png,A_core_chinese,passed,continuous Chinese-style vine; mounted leaf/flower branch; usable 2D line art,candidate_212__D01448673_tang_ceiling_pattern_p252_i05_x3231_356x106.png,252,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01448673.pdf,research candidate; source copyright not independently cleared,356,106,68d1782c21683efe8094f6cbc5a5566e12a4b345d7ea575cc7a87e4db4e84d1b
R01__meyer_01_p94_fig7_single_wave_acanthus.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_01_p94_fig7_single_wave_acanthus.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",535,160,3f76c3682cd1745fef1b4a9c33d92f9f982f18be85bebbc0a31aa1652be9d4c0
R02__meyer_02_p94_fig10_s_loop_flower_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_02_p94_fig10_s_loop_flower_vine.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",535,175,5a69fec0b32584cb23c0d8b521afa53a9a6e3e405ced83d918e4f5482872f6a1
R03__meyer_03_p94_fig12_alternating_leaf_flower_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_03_p94_fig12_alternating_leaf_flower_vine.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",535,170,9227c07cbcebe8c7f20dc6e2d38997697e5e90393ec748a15c98204ae0461ba2
R04__meyer_04_p95_fig1_natural_flower_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_04_p95_fig1_natural_flower_vine.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",530,225,bb1729e9b586a9a2c67dcdd284cef14b945c94b19660c5ff5d3459a90beea92a
R05__meyer_05_p95_fig2_grape_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_05_p95_fig2_grape_vine.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",520,225,dd15904bc19740dddc2c9ad60710f6d4b91e5d87bdf435d28a739e108d1bcfbd
R06__meyer_08_p96_fig1_symmetric_spiral_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_08_p96_fig1_symmetric_spiral_vine.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",530,220,cf6de8594f30207558d79301e81e5cc31f799040e44eae19d1c8dc184ecf17d3
R07__meyer_09_p96_fig3_continuous_flower_scroll.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_09_p96_fig3_continuous_flower_scroll.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",1080,275,5bc997c44a2cdf0b1e959a78ff8bc369ff220ba290912b5db433635c7f02e6b7
R08__meyer_10_p96_fig5_flower_spiral_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_10_p96_fig5_flower_spiral_vine.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",530,235,cacb4b95e3e9fb19c1d71b44f902ecb4fef47a50090cad49f1a49035d8c7802d
R09__meyer_11_p96_fig7_grape_leaf_interlace.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,meyer_11_p96_fig7_grape_leaf_interlace.png,,https://commons.wikimedia.org/wiki/Category:Blatt-Rankenband,"Public Domain Mark 1.0; Meyer, A Handbook of Ornament (1898)",530,240,217be86af096f0e6ff918c922609519a82448a263b3a3fa2ed377473c2c0b2e9
R10__met_01_plate7_top_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,met_01_plate7_top_vine.png,,https://www.metmuseum.org/art/collection/search/406539,The Met Open Access; Public Domain,608,74,d9637d973a2b32152b1a3bd12cc032431d6f5822df21366ae374fe3fdee4ccab
R11__met_02_plate8_top_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,met_02_plate8_top_vine.png,,https://www.metmuseum.org/art/collection/search/406540,The Met Open Access; Public Domain,608,72,888bcec3c656889be2f089ed9e9fe3cf2a2da61ade1372d3e9bd705b6bf76204
R12__met_03_plate8_bottom_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,met_03_plate8_bottom_vine.png,,https://www.metmuseum.org/art/collection/search/406540,The Met Open Access; Public Domain,608,69,0380e8fffae0748887c51c53c4d41d3d7c40a2d9652bc8b8ea87109b0cfe1771
R13__met_04_plate9_bottom_vine.png,R_cross_cultural_structure,passed_auxiliary,clean continuous vine and branch hierarchy; keep separate from Chinese-style gold set,met_04_plate9_bottom_vine.png,,https://www.metmuseum.org/art/collection/search/406541,The Met Open Access; Public Domain,608,70,65c285e5c1705b67cc5b900f270675f8c3c7c151c052215815c75bd7369c38bb
